RouteID,SubsetID,Rows,AmplitudeEstimator,AOpt,DistanceFromA2,WithinA2HalfBand,UsedForPrediction,ClaimBoundary,A2ImprovesOverUnit,DeltaAIC_A2_minus_Unit
CROSS_COV_RHO::0.15,memory_active_sign_stable,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.15,memory_active_anti_aligned,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.2,mid_high_memory_active,6,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.2,high_depth,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.2,memory_active_sign_stable,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.2,memory_active_anti_aligned,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.25,mid_high_memory_active,6,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.25,high_depth,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.25,memory_active_sign_stable,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.25,memory_active_anti_aligned,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.3,mid_high_memory_active,6,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.3,high_depth,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.3,memory_active_sign_stable,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.3,memory_active_anti_aligned,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.35,mid_high_memory_active,6,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.35,high_depth,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.35,memory_active_sign_stable,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.35,memory_active_anti_aligned,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.4,mid_high_memory_active,6,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.4,high_depth,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.4,memory_active_sign_stable,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
CROSS_COV_RHO::0.4,memory_active_anti_aligned,3,fixed_A2_cross_covariance_stability_proxy,,,,False,a2_amplitude_specificity_no_measurement_validation,,
