Dataset,Mapping,CovarianceProxy,Model,ParameterCount,Chi2Proxy,AIC,BIC,DeltaAIC_vs_K2,DeltaBIC_vs_K2
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,nearest_neighbor_corr,POLY_DEG2,3,0.725144100867,6.72514410087,7.31681783288,4.51915292905,5.11082666106
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,nearest_neighbor_corr,POLY_DEG3,4,0.716303427594,8.71630342759,9.50520173694,6.510312255770001,7.29921056512
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,nearest_neighbor_corr,SIGN_RANDOMIZED_CONTROL,0,5.25464821119,5.25464821119,5.25464821119,3.04865703937,3.04865703937
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,nearest_neighbor_corr,COORDINATE_REMAP_CONTROL,1,1.85388425854,3.85388425854,4.05110883587,1.64789308672,1.84511766405
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,exp_corr_z,K2_LOCKED_RHO4,0,1.63416562994,1.63416562994,1.63416562994,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,exp_corr_z,K1_NO_MEMORY,0,1.6078860687,1.6078860687,1.6078860687,-0.02627956123999997,-0.02627956123999997
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,exp_corr_z,POLY_DEG2,3,2.07272271586,8.07272271586,8.66439644787,6.438557085919999,7.030230817930001
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,exp_corr_z,POLY_DEG3,4,2.05139326581,10.0513932658,10.8402915752,8.41722763586,9.20612594526
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,exp_corr_z,SIGN_RANDOMIZED_CONTROL,0,7.49072678034,7.49072678034,7.49072678034,5.8565611504,5.8565611504
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,exp_corr_z,COORDINATE_REMAP_CONTROL,1,1.60902617607,3.60902617607,3.8062507534,1.97486054613,2.17208512346
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,exp_corr_x,K2_LOCKED_RHO4,0,1.63416562994,1.63416562994,1.63416562994,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,exp_corr_x,K1_NO_MEMORY,0,1.6078860687,1.6078860687,1.6078860687,-0.02627956123999997,-0.02627956123999997
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,exp_corr_x,POLY_DEG2,3,2.07272271586,8.07272271586,8.66439644787,6.438557085919999,7.030230817930001
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,exp_corr_x,POLY_DEG3,4,2.05139326581,10.0513932658,10.8402915752,8.41722763586,9.20612594526
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,exp_corr_x,SIGN_RANDOMIZED_CONTROL,0,7.49072678034,7.49072678034,7.49072678034,5.8565611504,5.8565611504
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,exp_corr_x,COORDINATE_REMAP_CONTROL,1,1.60902617607,3.60902617607,3.8062507534,1.97486054613,2.17208512346
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,constant_offdiag_corr,K2_LOCKED_RHO4,0,1.52018829937,1.52018829937,1.52018829937,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,constant_offdiag_corr,K1_NO_MEMORY,0,1.52905054901,1.52905054901,1.52905054901,0.00886224963999993,0.00886224963999993
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,constant_offdiag_corr,POLY_DEG2,3,0.540920572663,6.54092057266,7.13259430467,5.02073227329,5.6124060053000004
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,constant_offdiag_corr,POLY_DEG3,4,0.531753573427,8.53175357343,9.32065188277,7.0115652740600005,7.800463583399999
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,constant_offdiag_corr,SIGN_RANDOMIZED_CONTROL,0,4.84228925535,4.84228925535,4.84228925535,3.32210095598,3.32210095598
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,constant_offdiag_corr,COORDINATE_REMAP_CONTROL,1,1.2771166193,3.2771166193,3.47434119664,1.75692831993,1.9541528972700002
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,diagonal,K2_LOCKED_RHO4,0,5.5842513967,5.5842513967,5.5842513967,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,diagonal,K1_NO_MEMORY,0,1.39772148807,1.39772148807,1.39772148807,-4.18652990863,-4.18652990863
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,diagonal,POLY_DEG2,3,0.725208422944,6.72520842294,7.31688215495,1.1409570262399997,1.73263075825
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,diagonal,POLY_DEG3,4,0.588034892871,8.58803489287,9.37693320222,3.0037834961700005,3.79268180552
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,diagonal,SIGN_RANDOMIZED_CONTROL,0,5.7672386442,5.7672386442,5.7672386442,0.18298724749999984,0.18298724749999984
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,diagonal,COORDINATE_REMAP_CONTROL,1,4.41263814662,6.41263814662,6.60986272396,0.8283867499199999,1.02561132726
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,nearest_neighbor_corr,K2_LOCKED_RHO4,0,3.95909162859,3.95909162859,3.95909162859,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,nearest_neighbor_corr,K1_NO_MEMORY,0,1.22347286123,1.22347286123,1.22347286123,-2.73561876736,-2.73561876736
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,nearest_neighbor_corr,POLY_DEG2,3,0.870776958576,6.87077695858,7.46245069058,2.9116853299899996,3.50335906199
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,nearest_neighbor_corr,POLY_DEG3,4,0.90273104273,8.90273104273,9.69162935208,4.94363941414,5.732537723489999
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,nearest_neighbor_corr,SIGN_RANDOMIZED_CONTROL,0,5.25464821119,5.25464821119,5.25464821119,1.2955565826000002,1.2955565826000002
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,nearest_neighbor_corr,COORDINATE_REMAP_CONTROL,1,3.17603734443,5.17603734443,5.37326192177,1.21694571584,1.4141702931800002
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,exp_corr_z,K2_LOCKED_RHO4,0,2.11194719682,2.11194719682,2.11194719682,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,exp_corr_z,K1_NO_MEMORY,0,1.6078860687,1.6078860687,1.6078860687,-0.50406112812,-0.50406112812
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,exp_corr_z,POLY_DEG2,3,2.15344987113,8.15344987113,8.74512360313,6.04150267431,6.6331764063100005
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,exp_corr_z,POLY_DEG3,4,2.56233194243,10.5623319424,11.3512302518,8.45038474558,9.23928305498
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,exp_corr_z,SIGN_RANDOMIZED_CONTROL,0,7.49072678034,7.49072678034,7.49072678034,5.37877958352,5.37877958352
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,exp_corr_z,COORDINATE_REMAP_CONTROL,1,1.84606645106,3.84606645106,4.0432910284,1.73411925424,1.9313438315799996
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,exp_corr_x,K2_LOCKED_RHO4,0,2.31561626281,2.31561626281,2.31561626281,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,exp_corr_x,K1_NO_MEMORY,0,1.79362426148,1.79362426148,1.79362426148,-0.5219920013299999,-0.5219920013299999
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,exp_corr_x,POLY_DEG2,3,2.44013778823,8.44013778823,9.03181152024,6.1245215254200005,6.71619525743
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,exp_corr_x,POLY_DEG3,4,2.83623533498,10.836235335,11.6251336443,8.52061907219,9.30951738149
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,exp_corr_x,SIGN_RANDOMIZED_CONTROL,0,7.97201168302,7.97201168302,7.97201168302,5.65639542021,5.65639542021
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,exp_corr_x,COORDINATE_REMAP_CONTROL,1,2.03329376576,4.03329376576,4.23051834309,1.71767750295,1.91490208028
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,constant_offdiag_corr,K2_LOCKED_RHO4,0,2.86608379154,2.86608379154,2.86608379154,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,constant_offdiag_corr,K1_NO_MEMORY,0,1.52905054901,1.52905054901,1.52905054901,-1.33703324253,-1.33703324253
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,constant_offdiag_corr,POLY_DEG2,3,0.840562426987,6.84056242699,7.432236159,3.97447863545,4.566152367460001
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,constant_offdiag_corr,POLY_DEG3,4,0.688449611123,8.68844961112,9.47734792047,5.82236581958,6.611264128930001
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,constant_offdiag_corr,SIGN_RANDOMIZED_CONTROL,0,4.84228925535,4.84228925535,4.84228925535,1.97620546381,1.97620546381
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,constant_offdiag_corr,COORDINATE_REMAP_CONTROL,1,2.24890567709,4.24890567709,4.44613025442,1.3828218855499999,1.58004646288
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,diagonal,K2_LOCKED_RHO4,0,2.3535307288,2.3535307288,2.3535307288,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,diagonal,K1_NO_MEMORY,0,1.39772148807,1.39772148807,1.39772148807,-0.9558092407300001,-0.9558092407300001
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,diagonal,POLY_DEG2,3,0.459835941141,6.45983594114,7.05150967315,4.10630521234,4.69797894435
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,diagonal,POLY_DEG3,4,0.452042069563,8.45204206956,9.24094037891,6.098511340759999,6.88740965011
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,diagonal,SIGN_RANDOMIZED_CONTROL,0,5.7672386442,5.7672386442,5.7672386442,3.4137079154,3.4137079154
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,diagonal,COORDINATE_REMAP_CONTROL,1,1.99182519417,3.99182519417,4.18904977151,1.63829446537,1.8355190427099997
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,nearest_neighbor_corr,K2_LOCKED_RHO4,0,1.84402199283,1.84402199283,1.84402199283,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,nearest_neighbor_corr,K1_NO_MEMORY,0,1.22347286123,1.22347286123,1.22347286123,-0.6205491315999998,-0.6205491315999998
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,nearest_neighbor_corr,POLY_DEG2,3,0.725144100867,6.72514410087,7.31681783288,4.88112210804,5.47279584005
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,nearest_neighbor_corr,POLY_DEG3,4,0.716303427594,8.71630342759,9.50520173694,6.8722814347600005,7.66117974411
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,nearest_neighbor_corr,SIGN_RANDOMIZED_CONTROL,0,5.25464821119,5.25464821119,5.25464821119,3.41062621836,3.41062621836
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,nearest_neighbor_corr,COORDINATE_REMAP_CONTROL,1,1.62428478669,3.62428478669,3.82150936403,1.7802627938600002,1.9774873712000003
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,exp_corr_z,K2_LOCKED_RHO4,0,1.59173069982,1.59173069982,1.59173069982,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,exp_corr_z,K1_NO_MEMORY,0,1.6078860687,1.6078860687,1.6078860687,0.01615536888000002,0.01615536888000002
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,exp_corr_z,POLY_DEG2,3,2.07272271586,8.07272271586,8.66439644787,6.480992016039999,7.07266574805
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,exp_corr_z,POLY_DEG3,4,2.05139326581,10.0513932658,10.8402915752,8.45966256598,9.24856087538
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,exp_corr_z,SIGN_RANDOMIZED_CONTROL,0,7.49072678034,7.49072678034,7.49072678034,5.89899608052,5.89899608052
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,exp_corr_z,COORDINATE_REMAP_CONTROL,1,1.62729662255,3.62729662255,3.82452119988,2.03556592273,2.23279050006
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,exp_corr_x,K2_LOCKED_RHO4,0,1.59173069982,1.59173069982,1.59173069982,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,exp_corr_x,K1_NO_MEMORY,0,1.6078860687,1.6078860687,1.6078860687,0.01615536888000002,0.01615536888000002
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,exp_corr_x,POLY_DEG2,3,2.07272271586,8.07272271586,8.66439644787,6.480992016039999,7.07266574805
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,exp_corr_x,POLY_DEG3,4,2.05139326581,10.0513932658,10.8402915752,8.45966256598,9.24856087538
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,exp_corr_x,SIGN_RANDOMIZED_CONTROL,0,7.49072678034,7.49072678034,7.49072678034,5.89899608052,5.89899608052
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,exp_corr_x,COORDINATE_REMAP_CONTROL,1,1.62729662255,3.62729662255,3.82452119988,2.03556592273,2.23279050006
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,constant_offdiag_corr,K2_LOCKED_RHO4,0,1.26108130657,1.26108130657,1.26108130657,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,constant_offdiag_corr,K1_NO_MEMORY,0,1.52905054901,1.52905054901,1.52905054901,0.26796924244,0.26796924244
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,constant_offdiag_corr,POLY_DEG2,3,0.540920572663,6.54092057266,7.13259430467,5.279839266090001,5.8715129981
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,constant_offdiag_corr,POLY_DEG3,4,0.531753573427,8.53175357343,9.32065188277,7.27067226686,8.059570576199999
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,constant_offdiag_corr,SIGN_RANDOMIZED_CONTROL,0,4.84228925535,4.84228925535,4.84228925535,3.58120794878,3.58120794878
SN_BAO_NO_DEGREE4_CURRENT,optical_depth_like_uniform,constant_offdiag_corr,COORDINATE_REMAP_CONTROL,1,1.13118025612,3.13118025612,3.32840483346,1.87009894955,2.06732352689
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,diagonal,K2_LOCKED_RHO4,0,2.00796312554,2.00796312554,2.00796312554,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,diagonal,K1_NO_MEMORY,0,1.39772148807,1.39772148807,1.39772148807,-0.6102416374699999,-0.6102416374699999
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,diagonal,POLY_DEG2,3,0.459835941141,6.45983594114,7.05150967315,4.4518728156,5.04354654761
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,diagonal,POLY_DEG3,4,0.452042069563,8.45204206956,9.24094037891,6.444078944019999,7.2329772533700005
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,diagonal,SIGN_RANDOMIZED_CONTROL,0,5.7672386442,5.7672386442,5.7672386442,3.75927551866,3.75927551866
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,diagonal,COORDINATE_REMAP_CONTROL,1,1.77428853452,3.77428853452,3.97151311185,1.7663254089800002,1.9635499863100003
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,nearest_neighbor_corr,K2_LOCKED_RHO4,0,1.63233604614,1.63233604614,1.63233604614,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,nearest_neighbor_corr,K1_NO_MEMORY,0,1.22347286123,1.22347286123,1.22347286123,-0.40886318490999995,-0.40886318490999995
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,nearest_neighbor_corr,POLY_DEG2,3,0.725144100867,6.72514410087,7.31681783288,5.09280805473,5.68448178674
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,nearest_neighbor_corr,POLY_DEG3,4,0.716303427594,8.71630342759,9.50520173694,7.083967381450001,7.8728656908
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,nearest_neighbor_corr,SIGN_RANDOMIZED_CONTROL,0,5.25464821119,5.25464821119,5.25464821119,3.6223121650500003,3.6223121650500003
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,nearest_neighbor_corr,COORDINATE_REMAP_CONTROL,1,1.49751536866,3.49751536866,3.694739946,1.8651793225199997,2.0624038998599996
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,exp_corr_z,K2_LOCKED_RHO4,0,1.61072741525,1.61072741525,1.61072741525,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,exp_corr_z,K1_NO_MEMORY,0,1.6078860687,1.6078860687,1.6078860687,-0.0028413465499999013,-0.0028413465499999013
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,exp_corr_z,POLY_DEG2,3,2.07272271586,8.07272271586,8.66439644787,6.461995300609999,7.05366903262
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,exp_corr_z,POLY_DEG3,4,2.05139326581,10.0513932658,10.8402915752,8.44066585055,9.22956415995
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,exp_corr_z,SIGN_RANDOMIZED_CONTROL,0,7.49072678034,7.49072678034,7.49072678034,5.879999365090001,5.879999365090001
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,exp_corr_z,COORDINATE_REMAP_CONTROL,1,1.68032995618,3.68032995618,3.87755453352,2.06960254093,2.26682711827
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,exp_corr_x,K2_LOCKED_RHO4,0,1.61072741525,1.61072741525,1.61072741525,0.0,0.0
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,exp_corr_x,K1_NO_MEMORY,0,1.6078860687,1.6078860687,1.6078860687,-0.0028413465499999013,-0.0028413465499999013
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,exp_corr_x,POLY_DEG2,3,2.07272271586,8.07272271586,8.66439644787,6.461995300609999,7.05366903262
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,exp_corr_x,POLY_DEG3,4,2.05139326581,10.0513932658,10.8402915752,8.44066585055,9.22956415995
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,exp_corr_x,SIGN_RANDOMIZED_CONTROL,0,7.49072678034,7.49072678034,7.49072678034,5.879999365090001,5.879999365090001
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,exp_corr_x,COORDINATE_REMAP_CONTROL,1,1.68032995618,3.68032995618,3.87755453352,2.06960254093,2.26682711827
SN_BAO_NO_DEGREE4_CURRENT,likelihood_native_index,constant_offdiag_corr,K2_LOCKED_RHO4,0,1.12466564927,1.12466564927,1.12466564927,0.0,0.0
