GridIndex,z,x,ModelID,ParameterCount,Target,Prediction,Residual,AbsResidual,SigmaPublicProxy,SigmaBranchScatter,SigmaCombinedQuadrature,SigmaMaxNativeScatter,PublicToBranchSigmaRatio,PublicDiagChi2Contribution,BranchScatterDiagChi2Contribution,CombinedDiagChi2Contribution,SigmaGapClass,SignStable,ClaimBoundary,PublicContributionRank,BranchContributionRank
2,0.965,0.5755375138345268,K1_NO_MEMORY,0,-1.0612908027787438,-0.0650843299689463,-0.9962064728097975,0.9962064728097975,1.5144842338065214,0.7504459234557644,0.7540706341914711,0.7504459234557644,2.018112413526614,0.4326823754018573,1.7622191356172667,1.7453183776683423,PUBLIC_LOOSER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,7.0,4.0
2,0.965,0.5755375138345268,K2_LOCKED_RHO4,0,-1.0612908027787438,-0.11471582286930126,-0.9465749799094425,0.9465749799094425,1.5144842338065214,0.7504459234557644,0.7540706341914711,0.7504459234557644,2.018112413526614,0.3906434337044828,1.5910038707676,1.5757451717941455,PUBLIC_LOOSER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,6.0,4.0
2,0.965,0.5755375138345268,ZERO_RESPONSE_CONTROL,0,-1.0612908027787438,0.0,-1.0612908027787438,1.0612908027787438,1.5144842338065214,0.7504459234557644,0.7540706341914711,0.7504459234557644,2.018112413526614,0.49106534670592844,2.0000000000000004,1.9808187783149862,PUBLIC_LOOSER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,7.0,3.0
2,0.965,0.5755375138345268,POLY_DEG2,3,-1.0612908027787438,-1.7837604784004952,0.7224696756217515,0.7224696756217515,1.5144842338065214,0.7504459234557644,0.7540706341914711,0.7504459234557644,2.018112413526614,0.2275672351343462,0.9268307636076121,0.9179418904369876,PUBLIC_LOOSER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,4.0,2.0
2,0.965,0.5755375138345268,POLY_DEG3,4,-1.0612908027787438,-1.5035259225505584,0.4422351197718146,0.4422351197718146,1.5144842338065214,0.7504459234557644,0.7540706341914711,0.7504459234557644,2.018112413526614,0.08526620705223385,0.3472703078081176,0.34393977342877224,PUBLIC_LOOSER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,5.0,2.0
3,1.1925,0.6692388167013362,K1_NO_MEMORY,0,0.1211657917854815,0.0001516812476995,0.121014110537782,0.121014110537782,1.4755343006773876,0.0856771530193513,0.1245664256201136,0.0904224520916678,17.222027678068606,0.006726256221294773,1.9949957391612279,0.9437783719694446,PUBLIC_LOOSER_THAN_BRANCH,False,covariance_gap_audit_no_measurement_validation,8.0,1.0
3,1.1925,0.6692388167013362,K2_LOCKED_RHO4,0,0.1211657917854815,0.0003335404374077305,0.12083225134807377,0.12083225134807377,1.4755343006773876,0.0856771530193513,0.1245664256201136,0.0904224520916678,17.222027678068606,0.006706055066756494,1.9890041123328572,0.9409438958337185,PUBLIC_LOOSER_THAN_BRANCH,False,covariance_gap_audit_no_measurement_validation,8.0,1.0
3,1.1925,0.6692388167013362,ZERO_RESPONSE_CONTROL,0,0.1211657917854815,0.0,0.1211657917854815,0.1211657917854815,1.4755343006773876,0.0856771530193513,0.1245664256201136,0.0904224520916678,17.222027678068606,0.006743128408006263,1.9999999999999971,0.9461457520367873,PUBLIC_LOOSER_THAN_BRANCH,False,covariance_gap_audit_no_measurement_validation,8.0,8.0
3,1.1925,0.6692388167013362,POLY_DEG2,3,0.1211657917854815,-1.163157351282841,1.2843231430683226,1.2843231430683226,1.4755343006773876,0.0856771530193513,0.1245664256201136,0.0904224520916678,17.222027678068606,0.7576174996544567,224.70801497860253,106.30326691031193,PUBLIC_LOOSER_THAN_BRANCH,False,covariance_gap_audit_no_measurement_validation,1.0,1.0
3,1.1925,0.6692388167013362,POLY_DEG3,4,0.1211657917854815,-1.1121130279883893,1.2332788197738709,1.2332788197738709,1.4755343006773876,0.0856771530193513,0.1245664256201136,0.0904224520916678,17.222027678068606,0.6985925126963382,207.20130788756242,98.02131863714199,PUBLIC_LOOSER_THAN_BRANCH,False,covariance_gap_audit_no_measurement_validation,1.0,1.0
4,1.42,0.7515739767083173,K1_NO_MEMORY,0,-1.66707598793248,-0.1996724490854003,-1.4674035388470796,1.4674035388470796,1.5266241667746752,1.1788007358203196,1.181930994173572,1.1788007358203196,1.295065502069192,0.9239210418380408,1.5495954326891697,1.5413983200060857,PUBLIC_LOOSER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,5.0,6.0
4,1.42,0.7515739767083173,K2_LOCKED_RHO4,0,-1.66707598793248,-0.5387455505959784,-1.1283304373365015,1.1283304373365015,1.5266241667746752,1.1788007358203196,1.181930994173572,1.1788007358203196,1.295065502069192,0.546271245879476,0.9162032135779045,0.9113566447097525,PUBLIC_LOOSER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,5.0,5.0
4,1.42,0.7515739767083173,ZERO_RESPONSE_CONTROL,0,-1.66707598793248,0.0,-1.66707598793248,1.66707598793248,1.5266241667746752,1.1788007358203196,1.181930994173572,1.1788007358203196,1.295065502069192,1.192467430333951,1.9999999999999996,1.9894203189940243,PUBLIC_LOOSER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,5.0,7.0
4,1.42,0.7515739767083173,POLY_DEG2,3,-1.66707598793248,-0.9959620616350993,-0.6711139262973806,0.6711139262973806,1.5266241667746752,1.1788007358203196,1.181930994173572,1.1788007358203196,1.295065502069192,0.19325388608774513,0.32412438473665356,0.3224098184382677,PUBLIC_LOOSER_THAN_BRANCH,True,covariance_gap_audit_no_measurement_validation,6.0,3.0
