SubsetID,ModelID,ModelClass,Rows,ParameterCount,FitStatus,Chi2,AIC,BIC,PredictionToTargetRMSRatio,MeanAbsResidual,SignStableViolations,SignMatchFraction,ClaimBoundary
memory_active_sign_stable,POLY_DEG2,overfit_risk_control,3,3,saturated_or_tiny_subset,1.0901520144712682e-28,6.0,3.295836866004329,1.000000000000008,1.0880185641326534e-14,0,1.0,memory_active_scorecard_no_measurement_validation
memory_active_sign_stable,POLY_DEG3,overfit_risk_control,3,4,not_enough_rows,,,,,,,,memory_active_scorecard_no_measurement_validation
anti_aligned_only,K1_NO_MEMORY,fair_null,5,0,fixed,13.634598501695901,13.634598501695901,13.634598501695901,0.07236181325892778,2.696445047263688,0,1.0,memory_active_scorecard_no_measurement_validation
anti_aligned_only,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,5,0,fixed,12.122762956524468,12.122762956524468,12.122762956524468,0.21587664333373227,2.3325525570562986,0,1.0,memory_active_scorecard_no_measurement_validation
anti_aligned_only,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,5,0,fixed,10.57146699020108,10.57146699020108,10.57146699020108,0.43175328666746454,1.8162145867685495,0,1.0,memory_active_scorecard_no_measurement_validation
anti_aligned_only,ZERO_RESPONSE_CONTROL,diagnostic_control,5,0,fixed,15.46842288966582,15.46842288966582,15.46842288966582,0.0,2.924532121460156,4,0.0,memory_active_scorecard_no_measurement_validation
anti_aligned_only,POLY_DEG2,overfit_risk_control,5,3,fit_control,0.49804263129941456,6.498042631299414,5.326356368601715,0.9942968361458692,0.32702421239005924,0,1.0,memory_active_scorecard_no_measurement_validation
anti_aligned_only,POLY_DEG3,overfit_risk_control,5,4,saturated_or_tiny_subset,0.109982804901027,8.109982804901026,6.547734454637428,0.9990419670137304,0.11382486057172354,0,1.0,memory_active_scorecard_no_measurement_validation
memory_active_anti_aligned,K1_NO_MEMORY,fair_null,3,0,fixed,2.089919754535466,2.089919754535466,2.089919754535466,0.13332178494515592,1.586870458965717,0,1.0,memory_active_scorecard_no_measurement_validation
memory_active_anti_aligned,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,fixed,0.727695769981807,0.727695769981807,0.727695769981807,0.46812801670036447,1.0215300534557261,0,1.0,memory_active_scorecard_no_measurement_validation
memory_active_anti_aligned,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,fixed,0.33460279905659407,0.33460279905659407,0.33460279905659407,0.9362560334007289,0.34295164791464816,0,1.0,memory_active_scorecard_no_measurement_validation
memory_active_anti_aligned,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,fixed,2.822731272484363,2.822731272484363,2.822731272484363,0.0,1.8261777825236516,2,0.0,memory_active_scorecard_no_measurement_validation
memory_active_anti_aligned,POLY_DEG2,overfit_risk_control,3,3,saturated_or_tiny_subset,3.909894930614709e-27,6.0,3.295836866004329,0.999999999999964,6.483702463810914e-14,0,1.0,memory_active_scorecard_no_measurement_validation
memory_active_anti_aligned,POLY_DEG3,overfit_risk_control,3,4,not_enough_rows,,,,,,,,memory_active_scorecard_no_measurement_validation
