RhoCross,SubsetID,ModelID,ModelClass,Rows,ParameterCount,Chi2,AIC,ClaimBoundary
-0.75,high_depth,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.08497818621985187,0.08497818621985187,memory_active_cross_covariance_no_measurement_validation
-0.75,high_depth,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,2.6491666501484072,2.6491666501484072,memory_active_cross_covariance_no_measurement_validation
-0.75,high_depth,POLY_DEG2,overfit_risk_control_saturated,3,3,2.9736645105369904e-27,6.0,memory_active_cross_covariance_no_measurement_validation
-0.75,memory_active_sign_stable,K1_NO_MEMORY,fair_null,3,0,0.8791604132766668,0.8791604132766668,memory_active_cross_covariance_no_measurement_validation
-0.75,memory_active_sign_stable,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.5547354151894892,0.5547354151894892,memory_active_cross_covariance_no_measurement_validation
-0.75,memory_active_sign_stable,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.2415871471306424,0.2415871471306424,memory_active_cross_covariance_no_measurement_validation
-0.75,memory_active_sign_stable,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,1.1066448053063436,1.1066448053063436,memory_active_cross_covariance_no_measurement_validation
-0.75,memory_active_sign_stable,POLY_DEG2,overfit_risk_control_saturated,3,3,7.110467563088084e-29,6.0,memory_active_cross_covariance_no_measurement_validation
-0.75,memory_active_anti_aligned,K1_NO_MEMORY,fair_null,3,0,1.370409905063788,1.370409905063788,memory_active_cross_covariance_no_measurement_validation
-0.75,memory_active_anti_aligned,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.5152129160780667,0.5152129160780667,memory_active_cross_covariance_no_measurement_validation
-0.75,memory_active_anti_aligned,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.13435093734703762,0.13435093734703762,memory_active_cross_covariance_no_measurement_validation
-0.75,memory_active_anti_aligned,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,1.8355415532350745,1.8355415532350745,memory_active_cross_covariance_no_measurement_validation
-0.75,memory_active_anti_aligned,POLY_DEG2,overfit_risk_control_saturated,3,3,2.4435076383059903e-27,6.0,memory_active_cross_covariance_no_measurement_validation
-0.7,all_depth,K1_NO_MEMORY,fair_null,8,0,9.89628735423064,9.89628735423064,memory_active_cross_covariance_no_measurement_validation
-0.7,all_depth,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,8,0,8.412179660513997,8.412179660513997,memory_active_cross_covariance_no_measurement_validation
-0.7,all_depth,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,8,0,6.894243661200976,6.894243661200976,memory_active_cross_covariance_no_measurement_validation
-0.7,all_depth,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,11.257489736127457,11.257489736127457,memory_active_cross_covariance_no_measurement_validation
-0.7,all_depth,POLY_DEG2,overfit_risk_control,8,3,1.259696202556004,7.259696202556004,memory_active_cross_covariance_no_measurement_validation
-0.7,all_depth,POLY_DEG3,overfit_risk_control,8,4,1.156355183300644,9.156355183300644,memory_active_cross_covariance_no_measurement_validation
-0.7,mid_high_memory_active,K1_NO_MEMORY,fair_null,6,0,2.4463683981782456,2.4463683981782456,memory_active_cross_covariance_no_measurement_validation
-0.7,mid_high_memory_active,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,6,0,1.0877711189881243,1.0877711189881243,memory_active_cross_covariance_no_measurement_validation
-0.7,mid_high_memory_active,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,6,0,0.35536678550653145,0.35536678550653145,memory_active_cross_covariance_no_measurement_validation
-0.7,mid_high_memory_active,ZERO_RESPONSE_CONTROL,diagnostic_control,6,0,3.085750949173443,3.085750949173443,memory_active_cross_covariance_no_measurement_validation
-0.7,mid_high_memory_active,POLY_DEG2,overfit_risk_control,6,3,0.5920529315962776,6.592052931596277,memory_active_cross_covariance_no_measurement_validation
-0.7,mid_high_memory_active,POLY_DEG3,overfit_risk_control,6,4,0.32935683142150407,8.329356831421505,memory_active_cross_covariance_no_measurement_validation
-0.7,high_depth,K1_NO_MEMORY,fair_null,3,0,2.1247031426956955,2.1247031426956955,memory_active_cross_covariance_no_measurement_validation
-0.7,high_depth,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.7724906643911642,0.7724906643911642,memory_active_cross_covariance_no_measurement_validation
-0.7,high_depth,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.088065848791814,0.088065848791814,memory_active_cross_covariance_no_measurement_validation
-0.7,high_depth,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,2.7156933586163507,2.7156933586163507,memory_active_cross_covariance_no_measurement_validation
-0.7,high_depth,POLY_DEG2,overfit_risk_control_saturated,3,3,3.039146756096406e-27,6.0,memory_active_cross_covariance_no_measurement_validation
-0.7,memory_active_sign_stable,K1_NO_MEMORY,fair_null,3,0,0.8985426883418045,0.8985426883418045,memory_active_cross_covariance_no_measurement_validation
-0.7,memory_active_sign_stable,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.5675165312263418,0.5675165312263418,memory_active_cross_covariance_no_measurement_validation
-0.7,memory_active_sign_stable,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.24806313197484006,0.24806313197484006,memory_active_cross_covariance_no_measurement_validation
-0.7,memory_active_sign_stable,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,1.1308908159160787,1.1308908159160787,memory_active_cross_covariance_no_measurement_validation
-0.7,memory_active_sign_stable,POLY_DEG2,overfit_risk_control_saturated,3,3,7.27381156737241e-29,6.0,memory_active_cross_covariance_no_measurement_validation
-0.7,memory_active_anti_aligned,K1_NO_MEMORY,fair_null,3,0,1.399115642312705,1.399115642312705,memory_active_cross_covariance_no_measurement_validation
-0.7,memory_active_anti_aligned,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.5248592055802322,0.5248592055802322,memory_active_cross_covariance_no_measurement_validation
-0.7,memory_active_anti_aligned,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.13967986106323,0.13967986106323,memory_active_cross_covariance_no_measurement_validation
-0.7,memory_active_anti_aligned,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,1.8744502121228181,1.8744502121228181,memory_active_cross_covariance_no_measurement_validation
-0.7,memory_active_anti_aligned,POLY_DEG2,overfit_risk_control_saturated,3,3,2.498251654314052e-27,6.0,memory_active_cross_covariance_no_measurement_validation
-0.65,all_depth,K1_NO_MEMORY,fair_null,8,0,10.15191578788695,10.15191578788695,memory_active_cross_covariance_no_measurement_validation
-0.65,all_depth,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,8,0,8.634082849296078,8.634082849296078,memory_active_cross_covariance_no_measurement_validation
-0.65,all_depth,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,8,0,7.08502192998578,7.08502192998578,memory_active_cross_covariance_no_measurement_validation
-0.65,all_depth,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,11.546785035018317,11.546785035018317,memory_active_cross_covariance_no_measurement_validation
-0.65,all_depth,POLY_DEG2,overfit_risk_control,8,3,1.297639606838939,7.297639606838939,memory_active_cross_covariance_no_measurement_validation
-0.65,all_depth,POLY_DEG3,overfit_risk_control,8,4,1.1936033735622653,9.193603373562265,memory_active_cross_covariance_no_measurement_validation
-0.65,mid_high_memory_active,K1_NO_MEMORY,fair_null,6,0,2.5058528991310105,2.5058528991310105,memory_active_cross_covariance_no_measurement_validation
-0.65,mid_high_memory_active,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,6,0,1.1138008858370598,1.1138008858370598,memory_active_cross_covariance_no_measurement_validation
-0.65,mid_high_memory_active,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,6,0,0.3673988972571739,0.3673988972571739,memory_active_cross_covariance_no_measurement_validation
-0.65,mid_high_memory_active,ZERO_RESPONSE_CONTROL,diagnostic_control,6,0,3.160328798821814,3.160328798821814,memory_active_cross_covariance_no_measurement_validation
-0.65,mid_high_memory_active,POLY_DEG2,overfit_risk_control,6,3,0.6126183640525835,6.612618364052583,memory_active_cross_covariance_no_measurement_validation
-0.65,mid_high_memory_active,POLY_DEG3,overfit_risk_control,6,4,0.34386347486081204,8.343863474860813,memory_active_cross_covariance_no_measurement_validation
-0.65,high_depth,K1_NO_MEMORY,fair_null,3,0,2.179708462773913,2.179708462773913,memory_active_cross_covariance_no_measurement_validation
-0.65,high_depth,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.7920078091165554,0.7920078091165554,memory_active_cross_covariance_no_measurement_validation
-0.65,high_depth,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.09139717069116761,0.09139717069116761,memory_active_cross_covariance_no_measurement_validation
-0.65,high_depth,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,2.7858802595421523,2.7858802595421523,memory_active_cross_covariance_no_measurement_validation
-0.65,high_depth,POLY_DEG2,overfit_risk_control_saturated,3,3,3.1076129731894907e-27,6.0,memory_active_cross_covariance_no_measurement_validation
-0.65,memory_active_sign_stable,K1_NO_MEMORY,fair_null,3,0,0.9188128392025127,0.9188128392025127,memory_active_cross_covariance_no_measurement_validation
-0.65,memory_active_sign_stable,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.5809218177146331,0.5809218177146331,memory_active_cross_covariance_no_measurement_validation
-0.65,memory_active_sign_stable,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.2549163038407341,0.2549163038407341,memory_active_cross_covariance_no_measurement_validation
-0.65,memory_active_sign_stable,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,1.1562380531564815,1.1562380531564815,memory_active_cross_covariance_no_measurement_validation
-0.65,memory_active_sign_stable,POLY_DEG2,overfit_risk_control_saturated,3,3,7.445198347211828e-29,6.0,memory_active_cross_covariance_no_measurement_validation
-0.65,memory_active_anti_aligned,K1_NO_MEMORY,fair_null,3,0,1.429285106908447,1.429285106908447,memory_active_cross_covariance_no_measurement_validation
-0.65,memory_active_anti_aligned,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,3,0,0.5349091095567006,0.5349091095567006,memory_active_cross_covariance_no_measurement_validation
-0.65,memory_active_anti_aligned,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,3,0,0.14547694640020375,0.14547694640020375,memory_active_cross_covariance_no_measurement_validation
-0.65,memory_active_anti_aligned,ZERO_RESPONSE_CONTROL,diagnostic_control,3,0,1.9153784876466289,1.9153784876466289,memory_active_cross_covariance_no_measurement_validation
-0.65,memory_active_anti_aligned,POLY_DEG2,overfit_risk_control_saturated,3,3,2.556065013075969e-27,6.0,memory_active_cross_covariance_no_measurement_validation
-0.6,all_depth,K1_NO_MEMORY,fair_null,8,0,10.421516146236927,10.421516146236927,memory_active_cross_covariance_no_measurement_validation
-0.6,all_depth,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,8,0,8.868215006026396,8.868215006026396,memory_active_cross_covariance_no_measurement_validation
-0.6,all_depth,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,8,0,7.286891280049778,7.286891280049778,memory_active_cross_covariance_no_measurement_validation
-0.6,all_depth,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,11.851884550167366,11.851884550167366,memory_active_cross_covariance_no_measurement_validation
-0.6,all_depth,POLY_DEG2,overfit_risk_control,8,3,1.3380259280014775,7.3380259280014775,memory_active_cross_covariance_no_measurement_validation
-0.6,all_depth,POLY_DEG3,overfit_risk_control,8,4,1.2334154862549576,9.233415486254957,memory_active_cross_covariance_no_measurement_validation
-0.6,mid_high_memory_active,K1_NO_MEMORY,fair_null,6,0,2.5687444415851393,2.5687444415851393,memory_active_cross_covariance_no_measurement_validation
-0.6,mid_high_memory_active,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,6,0,1.1412554758003228,1.1412554758003228,memory_active_cross_covariance_no_measurement_validation
-0.6,mid_high_memory_active,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,6,0,0.38033627528799,0.38033627528799,memory_active_cross_covariance_no_measurement_validation
-0.6,mid_high_memory_active,ZERO_RESPONSE_CONTROL,diagnostic_control,6,0,3.239185657732717,3.239185657732717,memory_active_cross_covariance_no_measurement_validation
