TransformID,ProductID,RowID,z,ObservedMu,AuditPredictionMu,RawResidualMu,SameSampleOffsetMu,CenteredResidualMu,SigmaDiag,CovarianceIndex,x_z_normalized,x_chi_normalized,x_likelihood_native_index,BaselineID,TransformStatus,ClaimBoundary
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,10,0.00333,31.5011,30.77642471661544,0.7246752833845598,-0.10178211565083525,0.8264573990353951,0.16244900738385568,10,0.001472558670186657,0.0025742880707523754,0.0058823529411764705,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,11,0.00349,31.7933,30.87859859075584,0.9147014092441594,-0.10178211565083525,1.0164835248949946,0.1206360228124253,11,0.001543312239925355,0.0026978802448287065,0.006470588235294117,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,12,0.00349,31.4967,30.87859859075584,0.6181014092441615,-0.10178211565083525,0.7198835248949967,0.1396687509788786,12,0.001543312239925355,0.0026978802448287065,0.007058823529411764,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,13,0.00359,31.6969,30.940111108458517,0.7567888915414827,-0.10178211565083525,0.8585710071923179,0.1618295708453804,13,0.0015875332210120415,0.0027751208177105905,0.007647058823529411,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,14,0.00384,30.9999,31.08671340312444,-0.08681340312443808,-0.10178211565083525,0.014968712526397171,0.22707729961403011,14,0.0016980856737287575,0.0029682069831591944,0.008235294117647058,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,15,0.00407,31.3933,31.213414133286324,0.17988586671367557,-0.10178211565083525,0.28166798236451085,0.1250703801865174,15,0.0017997939302281361,0.0031458269907153084,0.008823529411764706,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,16,0.00407,31.3779,31.213414133286324,0.16448586671367593,-0.10178211565083525,0.2662679823645112,0.12646754524382925,16,0.0017997939302281361,0.0031458269907153084,0.009411764705882352,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,17,0.00432,31.499,31.343278940093207,0.1557210599067922,-0.10178211565083525,0.2575031755576275,0.2254839240389434,17,0.001910346382944852,0.003338871273233381,0.009999999999999998,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,18,0.00432,31.5611,31.343278940093207,0.21782105990679312,-0.10178211565083525,0.3196031755576284,0.24812944202572979,18,0.001910346382944852,0.003338871273233381,0.010588235294117647,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,19,0.00465,31.9309,31.503676650796216,0.4272233492037856,-0.10178211565083525,0.5290054648546209,0.14666420831273047,19,0.0020562756205309172,0.0035936563162035856,0.011176470588235293,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,20,0.00465,32.033,31.503676650796216,0.5293233492037857,-0.10178211565083525,0.6311054648546209,0.11057703197319052,20,0.0020562756205309172,0.0035936563162035856,0.011764705882352941,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,21,0.00482,31.2476,31.581931171491156,-0.3343311714911579,-0.10178211565083525,-0.23254905584032262,0.39595607079573863,21,0.002131451288378284,0.0037248943775426368,0.012352941176470587,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,22,0.00483,31.1331,31.5864483432404,-0.45334834324039974,-0.10178211565083525,-0.35156622758956446,0.3988982201013186,22,0.0021358733864869526,0.0037326139492198595,0.012941176470588234,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,23,0.00483,31.6525,31.5864483432404,0.06605165675960123,-0.10178211565083525,0.16783377241043648,0.4077762131365683,23,0.0021358733864869526,0.0037326139492198595,0.013529411764705882,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,24,0.00483,31.2234,31.5864483432404,-0.36304834324039703,-0.10178211565083525,-0.26126622758956175,0.40071860450944874,24,0.0021358733864869526,0.0037326139492198595,0.014117647058823528,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,25,0.00483,31.34,31.5864483432404,-0.24644834324039877,-0.10178211565083525,-0.14466622758956352,0.17169167131809276,25,0.0021358733864869526,0.0037326139492198595,0.014705882352941175,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,26,0.00483,31.7635,31.5864483432404,0.17705165675960188,-0.10178211565083525,0.27883377241043716,0.11809127825542409,26,0.0021358733864869526,0.0037326139492198595,0.015294117647058823,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,27,0.00488,31.4473,31.60889534172172,-0.1615953417217213,-0.10178211565083525,-0.059813226070886044,0.18458989679828092,27,0.0021579838770302956,0.003771211283774039,0.01588235294117647,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,28,0.00488,31.539,31.60889534172172,-0.0698953417217183,-0.10178211565083525,0.03188677392911696,0.12597587070546487,28,0.0021579838770302956,0.003771211283774039,0.016470588235294115,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,29,0.00538,31.6512,31.821542692855516,-0.17034269285551673,-0.10178211565083525,-0.06856057720468148,0.36506098120724984,29,0.002379088782463728,0.004157136605716812,0.01705882352941176,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,30,0.00548,31.7282,31.861701049480743,-0.13350104948074204,-0.10178211565083525,-0.03171893382990679,0.35579378859108823,30,0.002423309763550414,0.004234311190793972,0.01764705882352941,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,31,0.0057,31.9117,31.947539722186335,-0.03583972218633491,-0.10178211565083525,0.06594239346450034,0.3324530342770239,31,0.0025205959219411246,0.004404082980116125,0.018235294117647058,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,32,0.0057,31.8985,31.947539722186335,-0.04903972218633612,-0.10178211565083525,0.05274239346449913,0.3431350025864456,32,0.0025205959219411246,0.004404082980116125,0.018823529411764704,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,33,0.00571,31.6799,31.95136267252502,-0.27146267252501843,-0.10178211565083525,-0.16968055687418318,0.16103384737377419,33,0.002525018020049793,0.004411799477826621,0.01941176470588235,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,34,0.00571,31.6292,31.95136267252502,-0.3221626725250175,-0.10178211565083525,-0.22038055687418226,0.173058747250753,34,0.002525018020049793,0.004411799477826621,0.019999999999999997,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,35,0.00587,31.7403,32.0116396035587,-0.27133960355869746,-0.10178211565083525,-0.1695574879078622,0.34893575339881694,35,0.0025957715897884912,0.004535258689034463,0.020588235294117647,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,36,0.00588,32.1822,32.01535241098277,0.1668475890172303,-0.10178211565083525,0.26862970466806557,0.10180388008322669,36,0.0026001936878971596,0.004542974592713718,0.021176470588235293,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,37,0.00592,32.4685,32.03014104487801,0.4383589551219913,-0.10178211565083525,0.5401410707728266,0.34622508574625266,37,0.0026178820803318343,0.004573837857978595,0.02176470588235294,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,38,0.00602,31.9404,32.06668177695616,-0.1262817769561586,-0.10178211565083525,-0.024499661305323356,0.12933058416322105,38,0.0026621030614185207,0.004650993574898751,0.022352941176470586,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,39,0.00602,32.0666,32.06668177695616,-8.177695615785296e-05,-0.10178211565083525,0.1017003386946774,0.13888441237230334,39,0.0026621030614185207,0.004650993574898751,0.022941176470588232,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,40,0.00602,31.9102,32.06668177695616,-0.15648177695615928,-0.10178211565083525,-0.05469966130532403,0.12927973545765012,40,0.0026621030614185207,0.004650993574898751,0.023529411764705882,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,41,0.00616,30.9079,32.116836373262515,-1.2089363732625138,-0.10178211565083525,-1.1071542576116786,0.3773481681418369,41,0.0027240124349398815,0.004759005707261279,0.02411764705882353,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,42,0.00616,31.1857,32.116836373262515,-0.9311363732625146,-0.10178211565083525,-0.8293542576116794,0.3209074477166275,42,0.0027240124349398815,0.004759005707261279,0.024705882352941175,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,43,0.00625,32.0667,32.14848297552029,-0.08178297552029079,-0.10178211565083525,0.019999140130544463,0.10665387944186559,43,0.0027638113179178996,0.004828438460659517,0.02529411764705882,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,44,0.00625,32.0023,32.14848297552029,-0.14618297552028992,-0.10178211565083525,-0.04440085986945466,0.1591980841593265,44,0.0027638113179178996,0.004828438460659517,0.025882352941176467,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,45,0.00625,32.0999,32.14848297552029,-0.048582975520290006,-0.10178211565083525,0.05319914013054525,0.10401341259664544,45,0.0027638113179178996,0.004828438460659517,0.026470588235294114,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,46,0.00625,32.0337,32.14848297552029,-0.11478297552028494,-0.10178211565083525,-0.013000859869449682,0.13094991408931891,46,0.0027638113179178996,0.004828438460659517,0.027058823529411764,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,47,0.0063,32.0754,32.16586900320327,-0.09046900320326756,-0.10178211565083525,0.011313112447567691,0.3816553549997694,47,0.0027859218084612426,0.004867010989198183,0.02764705882352941,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,48,0.0063,32.0843,32.16586900320327,-0.08156900320327054,-0.10178211565083525,0.020213112447564713,0.38525640812321343,48,0.0027859218084612426,0.004867010989198183,0.028235294117647056,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,49,0.0063,32.0203,32.16586900320327,-0.1455690032032706,-0.10178211565083525,-0.043786887552435344,0.38543638904493693,49,0.0027859218084612426,0.004867010989198183,0.028823529411764703,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,50,0.00631,32.8333,32.16932972484435,0.6639702751556484,-0.10178211565083525,0.7657523908064837,0.40994981400166536,50,0.002790343906569911,0.004874725390044115,0.02941176470588235,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,51,0.00634,32.4001,32.17967923461984,0.22042076538016175,-0.10178211565083525,0.32220288103099703,0.34424579881241835,51,0.0028036102008959173,0.00489786838285436,0.03,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,52,0.00648,32.4608,32.22734135600637,0.2334586439936288,-0.10178211565083525,0.3352407596444641,0.12220085924411497,52,0.002865519574417278,0.005005864856215612,0.030588235294117645,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,53,0.00648,32.4338,32.22734135600637,0.2064586439936278,-0.10178211565083525,0.30824075964446307,0.12161093700814907,53,0.002865519574417278,0.005005864856215612,0.03117647058823529,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,54,0.00665,31.7321,32.283857880057255,-0.5517578800572558,-0.10178211565083525,-0.4499757644064205,0.3835216291162729,54,0.002940695242264645,0.0051369942194740385,0.03176470588235294,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,55,0.00668,31.2217,32.293681957398974,-1.0719819573989753,-0.10178211565083525,-0.97019984174814,0.29843352693690434,55,0.002953961536590651,0.00516013364651672,0.032352941176470584,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,56,0.00673,32.3593,32.30995828035236,0.049341719647635784,-0.10178211565083525,0.15112383529847104,0.20050965064056145,56,0.002976072027133994,0.005198698659000351,0.03294117647058823,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,57,0.00676,31.9733,32.31966642451483,-0.34636642451483013,-0.10178211565083525,-0.24458430886399488,0.29411013243341344,57,0.0029893383214600004,0.005221837246928385,0.03352941176470588,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,58,0.00677,32.1951,32.32289294959837,-0.12779294959837273,-0.10178211565083525,-0.026010833947537476,0.16777291199713976,58,0.0029937604195686687,0.005229550039642724,0.03411764705882352,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,59,0.00677,32.1729,32.32289294959837,-0.14999294959837073,-0.10178211565083525,-0.048210833947535475,0.19224814693515255,59,0.0029937604195686687,0.005229550039642724,0.03470588235294118,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,60,0.00677,32.2048,32.32289294959837,-0.11809294959837047,-0.10178211565083525,-0.016310833947535214,0.16873135452547044,60,0.0029937604195686687,0.005229550039642724,0.03529411764705882,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,61,0.00692,32.4405,32.37072996942612,0.06977003057387776,-0.10178211565083525,0.17155214622471301,0.31653427934427575,61,0.003060091891198698,0.005345237734491011,0.03588235294117647,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
T2_SN_DISTANCE_MODULUS_RESIDUAL,PANTHEON_PLUS_SH0ES_SN,62,0.0071,32.3193,32.426791036855,-0.10749103685500216,-0.10178211565083525,-0.005708921204166911,0.17107539273665281,62,0.003139689657154734,0.005484052582801646,0.036470588235294116,AUDIT_FLAT_LCDM_SN_V0,SN_RESIDUAL_PREFLIGHT_NOT_MEASUREMENT_GATE,preflight_only_same_sample_offset_not_k1_target
