TargetFractionFloor,ModelID,ParameterCount,Chi2,AIC,BIC,MeanSigmaEffective,MinSigmaEffective,MaxSigmaEffective,ClaimBoundary
0.11,ZERO_RESPONSE_CONTROL,0,580.3079879799461,580.3079879799461,580.3079879799461,0.25422110411015086,0.0904224520916678,0.5611523726478209,error_floor_sweep_only_no_measurement_validation
0.11,POLY_DEG2,3,281.7821370051024,287.7821370051024,288.02046163014194,0.25422110411015086,0.0904224520916678,0.5611523726478209,error_floor_sweep_only_no_measurement_validation
0.11,POLY_DEG3,4,226.1840518613336,234.1840518613336,234.50181802805292,0.25422110411015086,0.0904224520916678,0.5611523726478209,error_floor_sweep_only_no_measurement_validation
0.12,K1_NO_MEMORY,0,405.9053176394704,405.9053176394704,405.9053176394704,0.27630458571003197,0.0904224520916678,0.6121662247067138,error_floor_sweep_only_no_measurement_validation
0.12,K2_LOCKED_RHO4,0,275.22920898202005,275.22920898202005,275.22920898202005,0.27630458571003197,0.0904224520916678,0.6121662247067138,error_floor_sweep_only_no_measurement_validation
0.12,ZERO_RESPONSE_CONTROL,0,487.90670239684243,487.90670239684243,487.90670239684243,0.27630458571003197,0.0904224520916678,0.6121662247067138,error_floor_sweep_only_no_measurement_validation
0.12,POLY_DEG2,3,268.9979287722716,274.9979287722716,275.23625339731115,0.27630458571003197,0.0904224520916678,0.6121662247067138,error_floor_sweep_only_no_measurement_validation
0.12,POLY_DEG3,4,219.76966804044508,227.76966804044508,228.08743420716442,0.27630458571003197,0.0904224520916678,0.6121662247067138,error_floor_sweep_only_no_measurement_validation
0.13,K1_NO_MEMORY,0,346.1251077049562,346.1251077049562,346.1251077049562,0.2983880673099131,0.0904224520916678,0.6631800767656065,error_floor_sweep_only_no_measurement_validation
0.13,K2_LOCKED_RHO4,0,234.77898860386534,234.77898860386534,234.77898860386534,0.2983880673099131,0.0904224520916678,0.6631800767656065,error_floor_sweep_only_no_measurement_validation
0.13,ZERO_RESPONSE_CONTROL,0,415.9967747176838,415.9967747176838,415.9967747176838,0.2983880673099131,0.0904224520916678,0.6631800767656065,error_floor_sweep_only_no_measurement_validation
