RhoCross,ModelID,ModelClass,Rows,PositiveDefinite,ParameterCount,Chi2,AIC,BIC,SignStableViolations,ClaimBoundary
-0.3,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,14.105951215326517,14.105951215326517,14.105951215326517,5,cross_covariance_sensitivity_no_measurement_validation
-0.3,POLY_DEG2,overfit_risk_control,8,True,3,1.6460655607173362,7.646065560717336,7.884390185756843,0,cross_covariance_sensitivity_no_measurement_validation
-0.3,POLY_DEG3,overfit_risk_control,8,True,4,1.5505845780706076,9.550584578070607,9.86835074478995,0,cross_covariance_sensitivity_no_measurement_validation
-0.25,K1_NO_MEMORY,fair_null,8,True,0,12.824929382896059,12.824929382896059,12.824929382896059,0,cross_covariance_sensitivity_no_measurement_validation
-0.25,K2_LOCKED_RHO4,locked_prediction,8,True,0,10.957461675865428,10.957461675865428,10.957461675865428,0,cross_covariance_sensitivity_no_measurement_validation
-0.25,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,14.57275580982991,14.57275580982991,14.57275580982991,5,cross_covariance_sensitivity_no_measurement_validation
-0.25,POLY_DEG2,overfit_risk_control,8,True,3,1.7135635003324678,7.713563500332468,7.951888125371974,0,cross_covariance_sensitivity_no_measurement_validation
-0.25,POLY_DEG3,overfit_risk_control,8,True,4,1.6199631777022896,9.619963177702289,9.937729344421633,0,cross_covariance_sensitivity_no_measurement_validation
-0.2,K1_NO_MEMORY,fair_null,8,True,0,13.26691257043593,13.26691257043593,13.26691257043593,0,cross_covariance_sensitivity_no_measurement_validation
-0.2,K2_LOCKED_RHO4,locked_prediction,8,True,0,11.341445244924152,11.341445244924152,11.341445244924152,0,cross_covariance_sensitivity_no_measurement_validation
-0.2,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,15.073651423215136,15.073651423215136,15.073651423215136,5,cross_covariance_sensitivity_no_measurement_validation
-0.2,POLY_DEG2,overfit_risk_control,8,True,3,1.7873242593595884,7.787324259359588,8.025648884399095,0,cross_covariance_sensitivity_no_measurement_validation
-0.2,POLY_DEG3,overfit_risk_control,8,True,4,1.6963581965159582,9.696358196515959,10.0141243632353,0,cross_covariance_sensitivity_no_measurement_validation
-0.15,K1_NO_MEMORY,fair_null,8,True,0,13.74242059618151,13.74242059618151,13.74242059618151,0,cross_covariance_sensitivity_no_measurement_validation
-0.15,K2_LOCKED_RHO4,locked_prediction,8,True,0,11.754195456611278,11.754195456611278,11.754195456611278,0,cross_covariance_sensitivity_no_measurement_validation
-0.15,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,15.612881109757517,15.612881109757517,15.612881109757517,5,cross_covariance_sensitivity_no_measurement_validation
-0.15,POLY_DEG2,overfit_risk_control,8,True,3,1.8683729925822787,7.8683729925822785,8.106697617621785,0,cross_covariance_sensitivity_no_measurement_validation
-0.15,POLY_DEG3,overfit_risk_control,8,True,4,1.7810090852260831,9.781009085226083,10.098775251945426,0,cross_covariance_sensitivity_no_measurement_validation
-0.1,K1_NO_MEMORY,fair_null,8,True,0,14.255780556278452,14.255780556278452,14.255780556278452,0,cross_covariance_sensitivity_no_measurement_validation
-0.1,K2_LOCKED_RHO4,locked_prediction,8,True,0,12.199205226898824,12.199205226898824,12.199205226898824,0,cross_covariance_sensitivity_no_measurement_validation
-0.1,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,16.195532737660994,16.195532737660994,16.195532737660994,5,cross_covariance_sensitivity_no_measurement_validation
-0.1,POLY_DEG2,overfit_risk_control,8,True,3,1.9580088613327162,7.958008861332717,8.196333486372223,0,cross_covariance_sensitivity_no_measurement_validation
-0.1,POLY_DEG3,overfit_risk_control,8,True,4,1.875504962163834,9.875504962163834,10.193271128883177,0,cross_covariance_sensitivity_no_measurement_validation
-0.05,K1_NO_MEMORY,fair_null,8,True,0,14.812217738265378,14.812217738265378,14.812217738265378,0,cross_covariance_sensitivity_no_measurement_validation
-0.05,K2_LOCKED_RHO4,locked_prediction,8,True,0,12.680594674139236,12.680594674139236,12.680594674139236,0,cross_covariance_sensitivity_no_measurement_validation
-0.05,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,16.827808955705375,16.827808955705375,16.827808955705375,5,cross_covariance_sensitivity_no_measurement_validation
-0.05,POLY_DEG2,overfit_risk_control,8,True,3,2.0579195070656144,8.057919507065614,8.296244132105121,0,cross_covariance_sensitivity_no_measurement_validation
-0.05,POLY_DEG3,overfit_risk_control,8,True,4,1.9819346312050006,9.981934631205,10.299700797924343,0,cross_covariance_sensitivity_no_measurement_validation
0.0,K1_NO_MEMORY,fair_null,8,True,0,15.418161337537834,15.418161337537834,15.418161337537834,0,cross_covariance_sensitivity_no_measurement_validation
0.0,K2_LOCKED_RHO4,locked_prediction,8,True,0,13.20327652271834,13.20327652271834,13.20327652271834,0,cross_covariance_sensitivity_no_measurement_validation
0.0,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,17.5174351721365,17.5174351721365,17.5174351721365,5,cross_covariance_sensitivity_no_measurement_validation
0.0,POLY_DEG2,overfit_risk_control,8,True,3,2.170366755062351,8.17036675506235,8.408691380101857,0,cross_covariance_sensitivity_no_measurement_validation
0.0,POLY_DEG3,overfit_risk_control,8,True,4,2.103130521413344,10.103130521413345,10.420896688132686,0,cross_covariance_sensitivity_no_measurement_validation
0.05,K1_NO_MEMORY,fair_null,8,True,0,16.08172290336907,16.08172290336907,16.08172290336907,0,cross_covariance_sensitivity_no_measurement_validation
0.05,K2_LOCKED_RHO4,locked_prediction,8,True,0,13.773189806689233,13.773189806689233,13.773189806689233,0,cross_covariance_sensitivity_no_measurement_validation
0.05,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,18.27431320109406,18.27431320109406,18.27431320109406,5,cross_covariance_sensitivity_no_measurement_validation
0.05,POLY_DEG2,overfit_risk_control,8,True,3,2.2985064758664384,8.29850647586644,8.536831100905946,0,cross_covariance_sensitivity_no_measurement_validation
0.05,POLY_DEG3,overfit_risk_control,8,True,4,2.2430893047570244,10.243089304757024,10.560855471476367,0,cross_covariance_sensitivity_no_measurement_validation
0.1,K1_NO_MEMORY,fair_null,8,True,0,16.813502042551512,16.813502042551512,16.813502042551512,0,cross_covariance_sensitivity_no_measurement_validation
0.1,K2_LOCKED_RHO4,locked_prediction,8,True,0,14.397650063834332,14.397650063834332,14.397650063834332,0,cross_covariance_sensitivity_no_measurement_validation
0.1,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,19.111648660918146,19.111648660918146,19.111648660918146,5,cross_covariance_sensitivity_no_measurement_validation
0.1,POLY_DEG2,overfit_risk_control,8,True,3,2.446981975833727,8.446981975833726,8.685306600873233,0,cross_covariance_sensitivity_no_measurement_validation
0.1,POLY_DEG3,overfit_risk_control,8,True,4,2.4077521358450302,10.40775213584503,10.725518302564373,0,cross_covariance_sensitivity_no_measurement_validation
0.15,K1_NO_MEMORY,fair_null,8,True,0,17.628078401655127,17.628078401655127,17.628078401655127,0,cross_covariance_sensitivity_no_measurement_validation
0.15,K2_LOCKED_RHO4,locked_prediction,8,True,0,15.085922725424552,15.085922725424552,15.085922725424552,0,cross_covariance_sensitivity_no_measurement_validation
0.15,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,20.048086639458198,20.048086639458198,20.048086639458198,5,cross_covariance_sensitivity_no_measurement_validation
0.15,POLY_DEG2,overfit_risk_control,8,True,3,2.6231332075038782,8.623133207503878,8.861457832543385,0,cross_covariance_sensitivity_no_measurement_validation
0.15,POLY_DEG3,overfit_risk_control,8,True,4,2.606593203521846,10.606593203521847,10.92435937024119,0,cross_covariance_sensitivity_no_measurement_validation
0.2,K1_NO_MEMORY,fair_null,8,True,0,18.547139731667645,18.547139731667645,18.547139731667645,0,cross_covariance_sensitivity_no_measurement_validation
0.2,K2_LOCKED_RHO4,locked_prediction,8,True,0,15.85029911271565,15.85029911271565,15.85029911271565,0,cross_covariance_sensitivity_no_measurement_validation
0.2,ZERO_RESPONSE_CONTROL,diagnostic_control,8,True,0,21.112277358908997,21.112277358908997,21.112277358908997,5,cross_covariance_sensitivity_no_measurement_validation
0.2,POLY_DEG2,overfit_risk_control,8,True,3,2.839782399839877,8.839782399839876,9.078107024879383,0,cross_covariance_sensitivity_no_measurement_validation
0.2,POLY_DEG3,overfit_risk_control,8,True,4,2.8562752823874757,10.856275282387475,11.174041449106818,0,cross_covariance_sensitivity_no_measurement_validation
0.25,K1_NO_MEMORY,fair_null,8,True,0,19.607224908758326,19.607224908758326,19.607224908758326,0,cross_covariance_sensitivity_no_measurement_validation
0.25,K2_LOCKED_RHO4,locked_prediction,8,True,0,16.70858661493627,16.70858661493627,16.70858661493627,0,cross_covariance_sensitivity_no_measurement_validation
