TargetFractionFloor,BestModel,K1AIC,K2AIC,BestPolyAIC,DeltaAIC_K2_minus_K1,DeltaAIC_K2_minus_BestPoly,K2BestModel,K2BeatsBestPoly,ClaimBoundary,FirstFloorWhereK2Best,FirstFloorWhereK2BeatsBestPoly,Interpretation
0.12,POLY_DEG3,405.9053176394704,275.22920898202005,227.76966804044508,-130.67610865745036,47.45954094157497,False,False,error_floor_sweep_only_no_measurement_validation,0.14,0.14,poly_or_control_dominates
0.13,POLY_DEG3,346.1251077049562,234.77898860386534,222.77776913172687,-111.34611910109084,12.001219472138473,False,False,error_floor_sweep_only_no_measurement_validation,0.14,0.14,poly_or_control_dominates
0.14,K2_LOCKED_RHO4,298.6913411283457,202.68297700585197,218.81685016089082,-96.00836412249373,-16.133873155038856,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.15,K2_LOCKED_RHO4,260.4241987428366,176.78955266974276,215.62138285618843,-83.63464607309385,-38.83183018644567,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.16,K2_LOCKED_RHO4,229.1053467581446,155.5976822136275,213.00612701791098,-73.5076645445171,-57.40844480428348,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.17,K2_LOCKED_RHO4,203.14904851209727,138.03437848144137,210.8386669666541,-65.1146700306559,-72.80428848521274,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.18,K2_LOCKED_RHO4,181.3974181076282,123.3161591173946,209.02231436103668,-58.08125899023359,-85.70615524364207,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.19,K2_LOCKED_RHO4,162.98901415709486,110.86013065204027,207.48513522278046,-52.12888350505459,-96.62500457074019,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.2,K2_LOCKED_RHO4,147.27221737878813,100.2253755379715,206.17271660176658,-47.046841840816626,-105.94734106379508,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.21,K2_LOCKED_RHO4,133.7467618804617,91.0733893502088,205.04328419234588,-42.67337253025289,-113.96989484213708,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.22,K2_LOCKED_RHO4,122.02342814879387,83.14080708708042,204.06433652846584,-38.88262106171345,-120.92352944138543,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.23,K2_LOCKED_RHO4,111.79572524709485,76.22024195709483,203.210280328101,-35.57548329000002,-126.99003837100616,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.24,K2_LOCKED_RHO4,102.81965327148342,70.14659166477568,202.46074057324373,-32.67306160670773,-132.31414890846804,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.25,K2_LOCKED_RHO4,94.89901457600001,64.78709926555169,201.7993339354342,-30.111915310448325,-137.0122346698825,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.26,K2_LOCKED_RHO4,87.87460078785486,60.03403657023701,201.21276584606417,-27.840564217617853,-141.17872927582715,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.27,K2_LOCKED_RHO4,81.61612942680941,55.79924806644994,200.69015717018848,-25.816881360359467,-144.89090910373855,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.28,K2_LOCKED_RHO4,76.01615914370223,52.01003367073366,200.22253610335514,-24.006125472968563,-148.21250243262148,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.29,K2_LOCKED_RHO4,70.98544754119544,48.60600760252054,199.80245053011717,-22.3794399386749,-151.19644292759662,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.3,K2_LOCKED_RHO4,66.44937354732497,45.53667758670636,199.42366927717956,-20.912695960618606,-153.8869916904732,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.31,K2_LOCKED_RHO4,62.34515421436409,42.75956160333306,199.08094970440138,-19.585592611031032,-156.32138810106832,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.32,K2_LOCKED_RHO4,58.619660551151966,40.23870997267755,198.76985531761022,-18.38095057847442,-158.53114534493267,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.33,K2_LOCKED_RHO4,55.22768944510527,37.943536052976974,198.48661146682366,-17.284153392128296,-160.54307541384668,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.34,K2_LOCKED_RHO4,52.13058598964013,35.847884039631005,198.22799030479598,-16.282701950009127,-162.38010626516498,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.35,K2_LOCKED_RHO4,49.29513730554503,33.92928047051947,197.9912184164509,-15.36585683502556,-164.06193794593142,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.36,K2_LOCKED_RHO4,46.69267838852285,32.16832919861932,197.77390215339162,-14.524349189903532,-165.6055729547723,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.37,K2_LOCKED_RHO4,44.29836477773769,30.548219243890664,197.57396689866601,-13.750145533847025,-167.02574765477536,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.38,K2_LOCKED_RHO4,42.09057740088952,29.054322082280738,197.38960736882757,-13.036255318608784,-168.33528528654682,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.39,K2_LOCKED_RHO4,40.050432840243495,27.673860267713238,197.2192467190896,-12.376572572530257,-169.54538645137637,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.4,K2_LOCKED_RHO4,38.16137820631285,26.395633303763546,197.0615027135741,-11.7657449025493,-170.66586940981057,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.41,K2_LOCKED_RHO4,36.40885431716542,25.209789734267055,196.91515959936754,-11.199064582898366,-171.7053698651005,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.42,K2_LOCKED_RHO4,34.78001433173123,24.10763675682287,196.77914461121892,-10.67237757490836,-172.67150785439605,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.43,K2_LOCKED_RHO4,33.263487643135214,23.08148046144919,196.65250825564007,-10.182007181686025,-173.57102779419088,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.44,K2_LOCKED_RHO4,31.849180898814275,22.124491191040775,196.5344076952489,-9.7246897077735,-174.40991650420813,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.45,K2_LOCKED_RHO4,30.52810962223021,21.230589608366284,196.42409268847422,-9.297520013863927,-175.19350308010794,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.46,K2_LOCKED_RHO4,29.292255173389524,20.394349908544378,196.32089364515767,-8.897905264845146,-175.9265437366133,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.47,K2_LOCKED_RHO4,28.134442782133362,19.610917290389075,196.22421144182078,-8.523525491744287,-176.61329415143172,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.48,K2_LOCKED_RHO4,27.048237179486662,18.87593733546459,196.1335087064434,-8.17229984402207,-177.2575713709788,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.49,K2_LOCKED_RHO4,26.027852983884316,18.185495371013225,196.04830233533693,-7.842357612871091,-177.8628069643237,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
0.5,K2_LOCKED_RHO4,25.06807750561581,17.536064235658593,195.968157046991,-7.532013269957218,-178.4320928113324,True,True,error_floor_sweep_only_no_measurement_validation,0.14,0.14,k2_best_under_this_floor
