RhoCross,SubsetID,Rows,BestModel,A2AIC,K1AIC,UnitK2AIC,BestPolyAIC,DeltaAIC_A2_minus_K1,DeltaAIC_A2_minus_UnitK2,DeltaAIC_A2_minus_BestPoly,A2ImprovesOverK1,A2ImprovesOverUnitK2,A2BeatsBestPoly,ClaimBoundary
-0.2,all_depth,8,POLY_DEG2,9.461068949580952,13.266912570435931,11.341445244924152,7.790473398941197,-3.8058436208549793,-1.8803762953432006,1.6705955506397547,True,True,False,memory_active_cross_covariance_no_measurement_validation
-0.2,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.14041209853966663,2.863862491713847,1.0292984530760219,6.0,-2.7234503931741805,-0.8888863545363552,-5.859587901460333,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.2,memory_active_anti_aligned,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.2364764622109044,1.8023449090306607,0.6506039118806282,6.0,-1.5658684468197563,-0.41412744966972376,-5.763523537789095,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.2,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.34192292295071697,1.1544772397803642,0.7403002695123747,6.0,-0.8125543168296472,-0.39837734656165774,-5.658077077049283,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.2,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.5360728776717658,3.2516083806593383,1.433317287023522,6.899637158036482,-2.7155355029875725,-0.8972444093517562,-6.3635642803647166,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.15,all_depth,8,POLY_DEG2,9.832832046888473,13.742420596181514,11.75419545661128,7.871535959100619,-3.9095885492930407,-1.9213634097228063,1.9612960877878542,True,True,False,memory_active_cross_covariance_no_measurement_validation
-0.15,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.149699314646418,2.971980561132402,1.0655588642312017,6.0,-2.8222812464859843,-0.9158595495847837,-5.850300685353582,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.15,memory_active_anti_aligned,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.2548740013467526,1.8624117396738165,0.6675945640612284,6.0,-1.607537738327064,-0.4127205627144758,-5.745125998653247,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.15,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.35594581974558664,1.188658544389857,0.764092986633246,6.0,-0.8327127246442703,-0.40814716688765934,-5.644054180254414,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.15,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.5664420526679316,3.371234871780704,1.4829608411358257,6.950874608884954,-2.8047928191127722,-0.9165187884678941,-6.384432556217022,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.1,all_depth,8,POLY_DEG2,10.237247964886603,14.255780556278452,12.199205226898826,7.961172543365479,-4.01853259139185,-1.9619572620122234,2.2760754215211234,True,True,False,memory_active_cross_covariance_no_measurement_validation
-0.1,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.16045610772777727,3.0904223507370263,1.104767632037294,6.0,-2.929966243009249,-0.9443115243095166,-5.839543892272223,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.1,memory_active_anti_aligned,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.27660520517931975,1.929112217736779,0.6859048521587583,6.0,-1.6525070125574592,-0.40929964697943855,-5.72339479482068,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.1,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.37138178436632363,1.2250439975438248,0.789665550291094,6.0,-0.8536622131775011,-0.41828376592477035,-5.628618215633677,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.1,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.6010555504753269,3.503054311728664,1.5369805354042605,7.009058454493399,-2.901998761253337,-0.9359249849289336,-6.408002904018072,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.05,all_depth,8,POLY_DEG2,10.679441159677479,14.812217738265382,12.68059467413924,8.061065603753178,-4.132776578587903,-2.0011535144617607,2.6183755559243007,True,True,False,memory_active_cross_covariance_no_measurement_validation
-0.05,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.17309529723027248,3.2212075041701036,1.1473686268338217,6.0,-3.048112206939831,-0.9742733296035492,-5.826904702769728,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.05,memory_active_anti_aligned,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.302687663872357,2.0041392520910066,0.7058088821548332,6.0,-1.7014515882186496,-0.40312121828247616,-5.697312336127643,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.05,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.38851013834700865,1.2638837916709216,0.8172776472139419,6.0,-0.8753736533239129,-0.42876750886693327,-5.611489861652991,True,True,True,memory_active_cross_covariance_no_measurement_validation
-0.05,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.6410015328628933,3.6496208591698975,1.5961127405270572,7.075906717543756,-3.008619326307004,-0.9551112076641639,-6.434905184680862,True,True,True,memory_active_cross_covariance_no_measurement_validation
0.0,all_depth,8,POLY_DEG2,11.165929543509078,15.418161337537832,13.203276522718344,8.173469421380435,-4.252231794028754,-2.037346979209266,2.9924601221286427,True,True,False,memory_active_cross_covariance_no_measurement_validation
0.0,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.18821034723139937,3.367078266674312,1.193924730218935,6.0,-3.178867919442913,-1.0057143829875357,-5.811789652768601,True,True,True,memory_active_cross_covariance_no_measurement_validation
0.0,memory_active_anti_aligned,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.33460279905691537,2.0899197545363437,0.7276957699820183,6.0,-1.7553169554794283,-0.393092970925103,-5.665397200943085,True,True,True,memory_active_cross_covariance_no_measurement_validation
0.0,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.40770955834994116,1.305479740249198,0.8472628499890537,6.0,-0.8977701818992568,-0.4395532916391125,-5.592290441650059,True,True,True,memory_active_cross_covariance_no_measurement_validation
0.0,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.6878177757534368,3.814421765986993,1.6613056887983344,7.1538311631160365,-3.126603990233556,-0.9734879130448976,-6.4660133873626,True,True,True,memory_active_cross_covariance_no_measurement_validation
0.05,all_depth,8,POLY_DEG2,11.705278368204906,16.08172290336907,13.773189806689235,8.301528524974552,-4.376444535164163,-2.0679114384843285,3.4037498432303543,True,True,False,memory_active_cross_covariance_no_measurement_validation
0.05,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.20669010204729815,3.531918274673763,1.2451733823805289,6.0,-3.3252281726264648,-1.0384832803332307,-5.793309897952702,True,True,True,memory_active_cross_covariance_no_measurement_validation
0.05,memory_active_anti_aligned,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.37459477736073504,2.1900801425722385,0.7521451366055478,6.0,-1.8154853652115035,-0.3775503592448128,-5.625405222639265,True,True,True,memory_active_cross_covariance_no_measurement_validation
0.05,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.42951649973135747,1.3502064476654363,0.88006754868459,6.0,-0.9206899479340789,-0.45055104895323256,-5.570483500268643,True,True,True,memory_active_cross_covariance_no_measurement_validation
0.05,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.7437692673905024,4.002411650019323,1.7338193932688504,7.246363518833407,-3.2586423826288207,-0.990050125878348,-6.502594251442905,True,True,True,memory_active_cross_covariance_no_measurement_validation
0.1,all_depth,8,POLY_DEG2,12.309256644515571,16.813502042551516,14.397650063834334,8.449868392386636,-4.504245398035945,-2.0883934193187628,3.8593882521289355,True,True,False,memory_active_cross_covariance_no_measurement_validation
0.1,high_depth,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.2299354977706269,3.721530143414086,1.3021243951647952,6.0,-3.4915946456434592,-1.0721888973941682,-5.770064502229373,True,True,True,memory_active_cross_covariance_no_measurement_validation
0.1,memory_active_anti_aligned,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.42623520286560546,2.310321741327376,0.7800729698492699,6.0,-1.8840865384617707,-0.3538377669836644,-5.573764797134395,True,True,True,memory_active_cross_covariance_no_measurement_validation
0.1,memory_active_sign_stable,3,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.45473600415792165,1.3985487495741082,0.9163234682021771,6.0,-0.9438127454161866,-0.4615874640442555,-5.545263995842078,True,True,True,memory_active_cross_covariance_no_measurement_validation
0.1,mid_high_memory_active,6,K2_SOURCE_SPLIT_A2_PRIOR_V1,0.8123708405684367,4.220995594977564,1.8154006035727657,7.358961866378241,-3.4086247544091277,-1.003029763004329,-6.546591025809804,True,True,True,memory_active_cross_covariance_no_measurement_validation
0.15,all_depth,8,POLY_DEG2,12.995083972799865,17.628078401655127,15.085922725424556,8.625799186147638,-4.6329944288552625,-2.090838752624691,4.369284786652226,True,True,False,memory_active_cross_covariance_no_measurement_validation
