Dataset,SigmaRoute,ValidationMode,FoldID,ModelID,ModelClass,ParameterCount,TrainN,TestN,TestGridIndices,TestChi2,TestMeanChi2,TestMeanAbsResidual,ClaimBoundary
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_7,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,7,1,8,0.7087033952256352,0.7087033952256352,1.192462615262471,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_7,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,7,1,8,0.08057947852729137,0.08057947852729137,0.4020913606995655,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_7,POLY_DEG2,overfit_risk_control,3,7,1,8,3.47250334051732,3.47250334051732,2.6395740605007356,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,leave_one_out,loo_row_7,POLY_DEG3,overfit_risk_control,4,7,1,8,10.551346469342066,10.551346469342066,4.6011506991671585,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,low_depth_block,K1_NO_MEMORY,fair_null,0,6,2,0;1,13.892011878009168,6.946005939004584,4.360806929710645,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,low_depth_block,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,6,2,0;1,13.518446121066484,6.759223060533242,4.299086312457158,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,low_depth_block,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,6,2,0;1,11.893595030619679,5.946797515309839,4.026108995049402,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,low_depth_block,POLY_DEG2,overfit_risk_control,3,6,2,0;1,16.05050544946634,8.02525272473317,4.670273329110035,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,low_depth_block,POLY_DEG3,overfit_risk_control,4,6,2,0;1,35.41586322496705,17.707931612483524,5.412915848393412,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,mid_depth_block,K1_NO_MEMORY,fair_null,0,5,3,2;3;4,1.3633296734611928,0.45444322448706426,0.8615413740648864,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,mid_depth_block,K2_UNIT_LOCKED_RHO4,locked_memory_backbone,0,5,3,2;3;4,0.9436207346507154,0.3145402448835718,0.7319125561980059,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,mid_depth_block,K2_SOURCE_SPLIT_A2_PRIOR_V1,locked_projection_prior,0,5,3,2;3;4,0.45751723010347173,0.1525057433678239,0.5139809182304435,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,mid_depth_block,POLY_DEG2,overfit_risk_control,3,5,3,2;3;4,4.485365743631696,1.4951219145438985,1.59251831775689,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,mid_depth_block,POLY_DEG3,overfit_risk_control,4,5,3,2;3;4,4.747086760918879,1.5823622536396265,1.6388421835943117,a2_polynomial_cv_no_measurement_validation
SOURCE_SPLIT_A2_LOCKED_PREFLIGHT,public_proxy_diag,blocked_split,high_depth_block,K1_NO_MEMORY,fair_null,0,5,3,5;6;8,4.398806815619565,1.466268938539855,1.7059891523209554,a2_polynomial_cv_no_measurement_validation
