VariantID,VariantClass,ModelID,ModelClass,Rows,ParameterCount,Chi2,AIC,BIC,MeanAbsResidual,CounterfactualOnly,MeasurementValidationAllowed,ClaimBoundary
STANDARDIZED_SN_MINUS_BAO_COORDINATE_TARGET,standardized_counterfactual,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,17.51743517213555,17.51743517213555,17.51743517213555,2.2234938839612974,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
STANDARDIZED_SN_MINUS_BAO_COORDINATE_TARGET,standardized_counterfactual,POLY_DEG2,overfit_risk_control,8,3,2.170366755062017,8.170366755062016,8.408691380101523,0.7046767618192085,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
STANDARDIZED_SN_MINUS_BAO_COORDINATE_TARGET,standardized_counterfactual,POLY_DEG3,overfit_risk_control,8,4,2.1031305214130045,10.103130521413004,10.420896688132348,0.6206755083396288,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
STANDARDIZED_SN_PLUS_BAO_SIGN_FLIP_CHECK,standardized_sign_counterfactual,K1_NO_MEMORY,fair_null,8,0,14.577231943427105,14.577231943427105,14.577231943427105,1.938327490620172,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
STANDARDIZED_SN_PLUS_BAO_SIGN_FLIP_CHECK,standardized_sign_counterfactual,K2_LOCKED_A2_UNCHANGED,locked_prediction,8,0,20.117357139846593,20.117357139846593,20.117357139846593,2.5686988197257294,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
STANDARDIZED_SN_PLUS_BAO_SIGN_FLIP_CHECK,standardized_sign_counterfactual,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,14.591211615757791,14.591211615757791,14.591211615757791,1.8735255568702847,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
STANDARDIZED_SN_PLUS_BAO_SIGN_FLIP_CHECK,standardized_sign_counterfactual,POLY_DEG2,overfit_risk_control,8,3,10.414074655556282,16.414074655556284,16.652399280595787,1.5137710624643597,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
STANDARDIZED_SN_PLUS_BAO_SIGN_FLIP_CHECK,standardized_sign_counterfactual,POLY_DEG3,overfit_risk_control,8,4,10.465612008927376,18.465612008927376,18.783378175646718,1.4329960072064614,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_SIGN_ALIGNED_TO_STANDARDIZED,sign_alignment_counterfactual,K1_NO_MEMORY,fair_null,8,0,14.97475191908779,14.97475191908779,14.97475191908779,1.225442503818172,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_SIGN_ALIGNED_TO_STANDARDIZED,sign_alignment_counterfactual,K2_LOCKED_A2_UNCHANGED,locked_prediction,8,0,15.096580755477262,15.096580755477262,15.096580755477262,1.547697753823868,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_SIGN_ALIGNED_TO_STANDARDIZED,sign_alignment_counterfactual,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,15.843449219687535,15.843449219687535,15.843449219687535,1.3693904735491924,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_SIGN_ALIGNED_TO_STANDARDIZED,sign_alignment_counterfactual,POLY_DEG2,overfit_risk_control,8,3,14.08564509322507,20.085645093225068,20.32396971826458,1.1288641667896877,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_SIGN_ALIGNED_TO_STANDARDIZED,sign_alignment_counterfactual,POLY_DEG3,overfit_risk_control,8,4,13.474669127235106,21.474669127235106,21.792435293954448,1.222130842360171,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_MAGNITUDE_WITH_STANDARDIZED_SIGN_AND_SCALE,scale_alignment_counterfactual,K1_NO_MEMORY,fair_null,8,0,15.418161337537061,15.418161337537061,15.418161337537061,2.053025679822352,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_MAGNITUDE_WITH_STANDARDIZED_SIGN_AND_SCALE,scale_alignment_counterfactual,K2_LOCKED_A2_UNCHANGED,locked_prediction,8,0,11.16592954350888,11.16592954350888,11.16592954350888,1.3044402703116402,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_MAGNITUDE_WITH_STANDARDIZED_SIGN_AND_SCALE,scale_alignment_counterfactual,ZERO_RESPONSE_CONTROL,diagnostic_control,8,0,17.51743517213555,17.51743517213555,17.51743517213555,2.2234938839612974,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_MAGNITUDE_WITH_STANDARDIZED_SIGN_AND_SCALE,scale_alignment_counterfactual,POLY_DEG2,overfit_risk_control,8,3,2.170366755062017,8.170366755062016,8.408691380101523,0.7046767618192085,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
RAW_PROJECTED_MAGNITUDE_WITH_STANDARDIZED_SIGN_AND_SCALE,scale_alignment_counterfactual,POLY_DEG3,overfit_risk_control,8,4,2.1031305214130045,10.103130521413004,10.420896688132348,0.6206755083396288,True,False,public_rerun_target_variant_diagnostic_no_measurement_validation
