AuditID,RouteID,ComponentIndex,GridIndex,z_grid,x_coordinate,ModelID,ParameterCount,WhitenedTarget,Prediction,WhitenedResidual,Chi2Component,K2AbsResidual,Poly2AbsResidual,Poly3AbsResidual,K2LosesToPoly2Here,K2LosesToPoly3Here,ClaimBoundary
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,7,8,2.33,1.0,K1_NO_MEMORY,0,-1.2298343207445623,-0.09677214630137443,-1.133062174443188,1.2838298911539252,0.7142128363439384,0.3486822238638767,0.2569029386800312,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,7,8,2.33,1.0,K2_LOCKED_RHO4,0,-1.2298343207445623,-0.5156214844006239,-0.7142128363439384,0.5100999755984533,0.7142128363439384,0.3486822238638767,0.2569029386800312,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,7,8,2.33,1.0,POLY_DEG2,3,-1.2298343207445623,-1.578516544608439,0.3486822238638767,0.12157929323865863,0.7142128363439384,0.3486822238638767,0.2569029386800312,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,7,8,2.33,1.0,POLY_DEG3,4,-1.2298343207445623,-1.4867372594245936,0.2569029386800312,0.06599911990243588,0.7142128363439384,0.3486822238638767,0.2569029386800312,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,REGISTERED_SHRINKAGE_WHITENED,0,0,0.51,0.3416929010998006,K1_NO_MEMORY,0,-2.86433358564581,-0.10996305528301287,-2.754370530362797,7.586557018531035,2.7461222556574136,0.13130302711027175,0.30135240811885344,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,REGISTERED_SHRINKAGE_WHITENED,0,0,0.51,0.3416929010998006,K2_LOCKED_RHO4,0,-2.86433358564581,-0.11821132998839623,-2.7461222556574136,7.541187443016962,2.7461222556574136,0.13130302711027175,0.30135240811885344,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,REGISTERED_SHRINKAGE_WHITENED,0,0,0.51,0.3416929010998006,POLY_DEG2,3,-2.86433358564581,-2.9956366127560816,0.13130302711027175,0.017240484928320757,2.7461222556574136,0.13130302711027175,0.30135240811885344,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,REGISTERED_SHRINKAGE_WHITENED,0,0,0.51,0.3416929010998006,POLY_DEG3,4,-2.86433358564581,-3.1656859937646633,0.30135240811885344,0.090813273879032,2.7461222556574136,0.13130302711027175,0.30135240811885344,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,REGISTERED_SHRINKAGE_WHITENED,1,1,0.7375,0.4647935960751178,K1_NO_MEMORY,0,-2.315415080910488,-0.12386536066230924,-2.1915497202481786,4.80289017631987,2.152899168584444,0.6808140593889105,0.863633825383773,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,REGISTERED_SHRINKAGE_WHITENED,1,1,0.7375,0.4647935960751178,K2_LOCKED_RHO4,0,-2.315415080910488,-0.162515912326044,-2.152899168584444,4.63497483009159,2.152899168584444,0.6808140593889105,0.863633825383773,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,REGISTERED_SHRINKAGE_WHITENED,1,1,0.7375,0.4647935960751178,POLY_DEG2,3,-2.315415080910488,-1.6346010215215774,-0.6808140593889105,0.4635077834616069,2.152899168584444,0.6808140593889105,0.863633825383773,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,REGISTERED_SHRINKAGE_WHITENED,1,1,0.7375,0.4647935960751178,POLY_DEG3,4,-2.315415080910488,-1.4517812555267149,-0.863633825383773,0.7458633843470093,2.152899168584444,0.6808140593889105,0.863633825383773,True,True,weighted_polynomial_row_audit_no_measurement_validation
WEIGHTED_POLYNOMIAL_DOMINANCE_ROW_AUDIT_V1,REGISTERED_SHRINKAGE_WHITENED,2,2,0.965,0.5722853512593028,K1_NO_MEMORY,0,-0.4347675164995026,-0.02380092431692682,-0.4109665921825758,0.16889353989015957,0.4058511244048063,0.43056164627840143,0.2629548829819557,False,True,weighted_polynomial_row_audit_no_measurement_validation
