Rho,P,WithinPassiveBound,Chi2DiagProxy,AIC,BIC,SignStableViolations,MeanAbsResidual,ClaimBoundary
2.25,3,True,137904.9546225398,137904.9546225398,137904.9546225398,0,1.8771338418458205,bounded_rho_scan_only_no_posthoc_rescue
2.3000000000000003,3,True,137863.7578316998,137863.7578316998,137863.7578316998,0,1.8732251343352309,bounded_rho_scan_only_no_posthoc_rescue
2.35,3,True,137822.59074992003,137822.59074992003,137822.59074992003,0,1.8693164268246414,bounded_rho_scan_only_no_posthoc_rescue
2.4000000000000004,3,True,137781.45337720038,137781.45337720038,137781.45337720038,0,1.865407719314052,bounded_rho_scan_only_no_posthoc_rescue
2.45,3,True,137740.34571354097,137740.34571354097,137740.34571354097,0,1.8614990118034622,bounded_rho_scan_only_no_posthoc_rescue
2.5,3,True,137699.26775894169,137699.26775894169,137699.26775894169,0,1.8575903042928728,bounded_rho_scan_only_no_posthoc_rescue
2.5500000000000003,3,True,137658.21951340258,137658.21951340258,137658.21951340258,0,1.853681596782283,bounded_rho_scan_only_no_posthoc_rescue
2.6,3,True,137617.2009769237,137617.2009769237,137617.2009769237,0,1.8497728892716936,bounded_rho_scan_only_no_posthoc_rescue
2.6500000000000004,3,True,137576.21214950495,137576.21214950495,137576.21214950495,0,1.845864181761104,bounded_rho_scan_only_no_posthoc_rescue
2.7,3,True,137535.25303114642,137535.25303114642,137535.25303114642,0,1.8419554742505142,bounded_rho_scan_only_no_posthoc_rescue
2.75,3,True,137494.32362184805,137494.32362184805,137494.32362184805,0,1.8380467667399245,bounded_rho_scan_only_no_posthoc_rescue
2.8000000000000003,3,True,137453.42392160985,137453.42392160985,137453.42392160985,0,1.8341380592293353,bounded_rho_scan_only_no_posthoc_rescue
2.85,3,True,137412.55393043184,137412.55393043184,137412.55393043184,0,1.8302293517187456,bounded_rho_scan_only_no_posthoc_rescue
2.9000000000000004,3,True,137371.713648314,137371.713648314,137371.713648314,0,1.8263206442081559,bounded_rho_scan_only_no_posthoc_rescue
2.95,3,True,137330.90307525638,137330.90307525638,137330.90307525638,0,1.8224119366975662,bounded_rho_scan_only_no_posthoc_rescue
3.0,3,True,137290.12221125892,137290.12221125892,137290.12221125892,0,1.8185032291869767,bounded_rho_scan_only_no_posthoc_rescue
3.0500000000000003,3,True,137249.37105632163,137249.37105632163,137249.37105632163,0,1.814594521676387,bounded_rho_scan_only_no_posthoc_rescue
3.1,3,True,137208.6496104445,137208.6496104445,137208.6496104445,0,1.8106858141657975,bounded_rho_scan_only_no_posthoc_rescue
3.1500000000000004,3,True,137167.9578736276,137167.9578736276,137167.9578736276,0,1.8067771066552079,bounded_rho_scan_only_no_posthoc_rescue
3.2,3,True,137127.29584587083,137127.29584587083,137127.29584587083,0,1.8028683991446184,bounded_rho_scan_only_no_posthoc_rescue
3.25,3,True,137086.66352717427,137086.66352717427,137086.66352717427,0,1.798959691634029,bounded_rho_scan_only_no_posthoc_rescue
3.3000000000000003,3,True,137046.0609175379,137046.0609175379,137046.0609175379,0,1.7950509841234392,bounded_rho_scan_only_no_posthoc_rescue
3.35,3,True,137005.48801696167,137005.48801696167,137005.48801696167,0,1.7911422766128497,bounded_rho_scan_only_no_posthoc_rescue
3.4000000000000004,3,True,136964.94482544562,136964.94482544562,136964.94482544562,0,1.7872335691022598,bounded_rho_scan_only_no_posthoc_rescue
3.45,3,True,136924.4313429898,136924.4313429898,136924.4313429898,0,1.7833248615916706,bounded_rho_scan_only_no_posthoc_rescue
3.5,3,True,136883.9475695941,136883.9475695941,136883.9475695941,0,1.7794161540810811,bounded_rho_scan_only_no_posthoc_rescue
3.5500000000000003,3,True,136843.49350525858,136843.49350525858,136843.49350525858,0,1.7755074465704912,bounded_rho_scan_only_no_posthoc_rescue
3.6,3,True,136803.0691499833,136803.0691499833,136803.0691499833,0,1.7715987390599015,bounded_rho_scan_only_no_posthoc_rescue
3.6500000000000004,3,True,136762.67450376812,136762.67450376812,136762.67450376812,0,1.7676900315493123,bounded_rho_scan_only_no_posthoc_rescue
3.7,3,True,136722.30956661323,136722.30956661323,136722.30956661323,0,1.7637813240387223,bounded_rho_scan_only_no_posthoc_rescue
3.75,3,True,136681.97433851846,136681.97433851846,136681.97433851846,0,1.759872616528133,bounded_rho_scan_only_no_posthoc_rescue
3.8000000000000003,3,True,136641.66881948384,136641.66881948384,136641.66881948384,0,1.7559639090175432,bounded_rho_scan_only_no_posthoc_rescue
3.85,3,True,136601.39300950945,136601.39300950945,136601.39300950945,0,1.7520552015069537,bounded_rho_scan_only_no_posthoc_rescue
3.9000000000000004,3,True,136561.14690859517,136561.14690859517,136561.14690859517,0,1.748146493996364,bounded_rho_scan_only_no_posthoc_rescue
3.95,3,True,136520.93051674112,136520.93051674112,136520.93051674112,0,1.7442377864857745,bounded_rho_scan_only_no_posthoc_rescue
4.0,3,True,136480.7438339473,136480.7438339473,136480.7438339473,0,1.740329078975185,bounded_rho_scan_only_no_posthoc_rescue
