AuditID,RouteID,FamilyID,SampleID,GridIndex,z_grid,SurrogateBackreactionInterpolated,SurrogateBackreactionWhitened,WhitenedTarget,K2LockedWhitened,ResidualToTarget,ResidualToK2,SignStable,SignMatchesTarget,SignMatchesK2,MeasurementValidationAllowed,ClaimBoundary
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_DESI,0,0,0.51,0.5776060965094121,0.7053694973062521,-2.745431288481891,-0.0796921414161646,-3.450800785788143,-0.7850616387224167,True,False,False,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_DESI,0,1,0.7375,-0.29730479837577256,-0.3716141131652071,-2.3025428535703973,-0.2055224348022593,-1.9309287404051902,0.1660916783629478,True,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_DESI,0,2,0.965,0.08223752575738595,0.027431397034941744,-0.8014829515625784,-0.0625291792376435,-0.8289143485975202,-0.08996057627258525,True,False,False,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_DESI,0,3,1.1925,0.645484973005115,0.5733719260730935,0.173576508880147,0.042579236107518,-0.39979541719294653,-0.5307926899655755,False,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_DESI,0,4,1.42,0.7297031029774704,1.2375368416054178,-0.6451889001717087,-0.0759363642193157,-1.8827257417771266,-1.3134732058247334,True,False,False,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_DESI,0,5,1.6475,-0.15822993384723746,0.2771035077628277,-0.3814165650725978,-0.1283810963664025,-0.6585200728354255,-0.4054846041292302,True,False,False,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_DESI,0,6,1.875,-2.4250869669159223,-1.9682986126391235,-1.3898183781540705,-0.8895918169480529,0.578480234485053,1.0787067956910708,False,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_DESI,0,8,2.33,-10.26146338062517,-7.299598368267272,-1.2298343207445623,-0.5156214844006239,6.06976404752271,6.783976883866648,False,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_EBOSS,0,0,0.51,0.2175753758128555,-1.253213219633278,-2.745431288481891,-0.0796921414161646,-1.4922180688486133,1.1735210782171133,True,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_EBOSS,0,1,0.7375,0.7405636972286513,1.0931015306133407,-2.3025428535703973,-0.2055224348022593,-3.395644384183738,-1.2986239654156,True,False,False,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_EBOSS,0,2,0.965,0.418692971228967,0.3737171229379624,-0.8014829515625784,-0.0625291792376435,-1.1752000745005409,-0.4362463021756059,True,False,False,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_EBOSS,0,3,1.1925,-0.9739264136997066,-1.221164972581024,0.173576508880147,0.042579236107518,1.3947414814611712,1.263744208688542,False,False,False,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_EBOSS,0,4,1.42,-2.8517726345187113,-2.9421815610067927,-0.6451889001717087,-0.0759363642193157,2.296992660835084,2.866245196787477,True,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_EBOSS,0,5,1.6475,-3.2445763116962243,-3.184990191436856,-0.3814165650725978,-0.1283810963664025,2.8035736263642583,3.0566090950704536,True,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_EBOSS,0,6,1.875,2.2986427458512004,2.056193291792358,-1.3898183781540705,-0.8895918169480529,-3.4460116699464285,-2.945785108740411,False,False,False,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,QR_EBOSS,0,8,2.33,47.06883145012783,33.59843823528666,-1.2298343207445623,-0.5156214844006239,-34.82827255603122,-34.11405971968728,False,False,False,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,REGISTERED_SHRINKAGE_WHITENED,QR_CRITERIA_1,0,0,0.51,-0.245708192813086,-0.15486379111452991,-2.86433358564581,-0.1182113299883962,-2.70946979453128,0.03665246112613371,True,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,REGISTERED_SHRINKAGE_WHITENED,QR_CRITERIA_1,0,1,0.7375,-0.1517214292027599,-0.11310302896230519,-2.315415080910488,-0.1625159123260439,-2.2023120519481827,-0.04941288336373871,True,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,REGISTERED_SHRINKAGE_WHITENED,QR_CRITERIA_1,0,2,0.965,-0.04061503023293281,-0.06384107568967866,-0.4347675164995026,-0.0289163920946963,-0.37092644080982395,0.03492468359498236,True,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
SOURCE_NATIVE_SURROGATE_BRIDGE_ROW_AUDIT_V1,REGISTERED_SHRINKAGE_WHITENED,QR_CRITERIA_1,0,3,1.1925,0.12468591561549608,0.025270434087807526,0.3719064209126854,0.0677155766598442,0.34663598682487784,0.04244514257203668,False,True,True,False,source_native_surrogate_bridge_scorecard_no_measurement_validation
