Dataset,Mapping,Subset,N,Model,ParameterCount,Chi2DiagProxy,AIC,BIC,MaxAbsDiagResidual,EnvelopeFraction,SignStableViolations,Status
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,low_depth,2,K1_NO_MEMORY,0,0.474044299507,0.474044299507,0.474044299507,0.524487801033,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,low_depth,2,POLY_DEG2,3,0.0121053187536,6.01210531875,2.09154686043,0.103749990388,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,low_depth,2,POLY_DEG3,4,0.0112191996621,8.01121919966,2.7838079219,0.100694998366,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,low_depth,2,SIGN_RANDOMIZED_CONTROL,0,0,0,0,0,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,low_depth,2,COORDINATE_REMAP_CONTROL,1,0.538564090292,2.53856409029,1.23171127085,0.53893826462,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,mid_depth,3,K2_LOCKED_RHO4,0,1.17205345589,1.17205345589,1.17205345589,0.703308682131,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,mid_depth,3,K1_NO_MEMORY,0,0.530298357023,0.530298357023,0.530298357023,0.522877594341,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,mid_depth,3,POLY_DEG2,3,0.190092437472,6.19009243747,3.48592930348,0.426314131092,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,mid_depth,3,POLY_DEG3,4,0.191831181624,8.19183118162,4.5862803363,0.426314131092,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,mid_depth,3,SIGN_RANDOMIZED_CONTROL,0,1.87424594382,1.87424594382,1.87424594382,1.36903102369,1.0000000000,1,STRICT_GATE_WARNING
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,mid_depth,3,COORDINATE_REMAP_CONTROL,1,0.885056520494,2.88505652049,1.98366880916,0.635239770427,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,high_depth,4,K2_LOCKED_RHO4,0,1.13094904467,1.13094904467,1.13094904467,0.778958904503,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,high_depth,4,K1_NO_MEMORY,0,0.393378831538,0.393378831538,0.393378831538,0.370095835962,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,high_depth,4,POLY_DEG2,3,0.257638184916,6.25763818492,4.41652126828,0.494932677972,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,high_depth,4,POLY_DEG3,4,0.248991688277,8.24899168828,5.79416913276,0.484642242696,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,high_depth,4,SIGN_RANDOMIZED_CONTROL,0,3.89299270038,3.89299270038,3.89299270038,1.27658342682,0.2500000000,1,STRICT_GATE_WARNING
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,high_depth,4,COORDINATE_REMAP_CONTROL,1,0.940506483289,2.94050648329,2.32680084441,0.684352139773,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,all_points,9,K2_LOCKED_RHO4,0,5.5842513967,5.5842513967,5.5842513967,1.06878144822,0.6666666667,0,ENVELOPE_TENSION
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,all_points,9,K1_NO_MEMORY,0,1.39772148807,1.39772148807,1.39772148807,0.524487801033,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,all_points,9,POLY_DEG2,3,0.725208422944,6.72520842294,7.31688215495,0.798043646107,1.0000000000,1,STRICT_GATE_WARNING
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,all_points,9,POLY_DEG3,4,0.588034892871,8.58803489287,9.37693320222,0.608232334089,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,all_points,9,SIGN_RANDOMIZED_CONTROL,0,5.7672386442,5.7672386442,5.7672386442,1.36903102369,0.6666666667,2,STRICT_GATE_WARNING
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,all_points,9,COORDINATE_REMAP_CONTROL,1,4.41263814662,6.41263814662,6.60986272396,0.98108520276,0.6666666667,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,sign_stable_only,5,K2_LOCKED_RHO4,0,3.94761817613,3.94761817613,3.94761817613,1.06878144822,0.4000000000,0,ENVELOPE_TENSION
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,sign_stable_only,5,K1_NO_MEMORY,0,0.832389351916,0.832389351916,0.832389351916,0.524487801033,1.0000000000,0,NON_VIOLATING_DIAGNOSTIC
SN_BAO_NO_DEGREE4_CURRENT,chi_normalized_flat_lcdm_audit,sign_stable_only,5,POLY_DEG2,3,0.723188571322,6.72318857132,5.55150230862,0.798043646107,1.0000000000,1,STRICT_GATE_WARNING
