SigmaRoute,ValidationMode,ModelID,Folds,TotalTestN,TotalTestChi2,MeanFoldChi2,MeanTestMeanChi2,MeanAbsResidual,ClaimBoundary,K1TotalTestChi2,BestPolyModel,BestPolyTotalTestChi2,DeltaChi2_K2_minus_K1,DeltaChi2_K2_minus_BestPoly,K2ImprovesOverK1,K2BeatsBestPoly
native_plus_branch_scatter_quadrature,leave_one_out,K1_NO_MEMORY,8,8,12.48585366724693,1.5607317084058663,1.5607317084058663,2.053025679822352,polynomial_cv_no_measurement_validation,,,,,,,
native_plus_branch_scatter_quadrature,leave_one_out,K2_LOCKED_RHO4,8,8,8.766726844881333,1.0958408556101666,1.0958408556101666,1.740329078975185,polynomial_cv_no_measurement_validation,,,,,,,
native_plus_branch_scatter_quadrature,leave_one_out,POLY_DEG2,8,8,123.84870209932296,15.48108776241537,15.48108776241537,1.7031769781192883,polynomial_cv_no_measurement_validation,,,,,,,
native_plus_branch_scatter_quadrature,leave_one_out,POLY_DEG3,8,8,124.59780816212253,15.574726020265317,15.574726020265317,3.258623889875645,polynomial_cv_no_measurement_validation,,,,,,,
native_plus_branch_scatter_quadrature,blocked_split,K1_NO_MEMORY,2,6,9.43891434709587,4.719457173547935,1.5731523911826453,2.289726549665678,polynomial_cv_no_measurement_validation,,,,,,,
native_plus_branch_scatter_quadrature,blocked_split,K2_LOCKED_RHO4,2,6,7.169140098897152,3.584570049448576,1.1948566831495255,1.995282133665515,polynomial_cv_no_measurement_validation,,,,,,,
native_plus_branch_scatter_quadrature,blocked_split,POLY_DEG2,2,6,108.02970152349654,54.01485076174827,18.00495025391609,5.116039491320518,polynomial_cv_no_measurement_validation,,,,,,,
native_plus_branch_scatter_quadrature,blocked_split,POLY_DEG3,2,6,272.57068065736377,136.28534032868188,45.4284467762273,9.87267175457061,polynomial_cv_no_measurement_validation,,,,,,,
public_proxy_diag,leave_one_out,CV_COMPARISON,8,8,16.075099151265547,2.0093873939081934,2.0093873939081934,1.740329078975185,polynomial_cv_no_measurement_validation,19.654148367089924,POLY_DEG2,7.205322875603564,-3.5790492158243765,8.869776275661984,True,False
public_proxy_diag,blocked_split,CV_COMPARISON,2,6,15.215935585305626,7.607967792652813,2.535989264217604,1.995282133665515,polynomial_cv_no_measurement_validation,18.04376338897636,POLY_DEG2,112.17117893429459,-2.8278278036707327,-96.95524334898896,True,True
branch_scatter_diag,leave_one_out,CV_COMPARISON,8,8,9.864176617315042,1.2330220771643803,1.2330220771643803,1.740329078975185,polynomial_cv_no_measurement_validation,13.633485250891928,POLY_DEG3,223.0786289793829,-3.7693086335768857,-213.21445236206785,True,True
branch_scatter_diag,blocked_split,CV_COMPARISON,2,6,8.252571160453572,4.126285580226786,1.375428526742262,1.995282133665515,polynomial_cv_no_measurement_validation,10.558225777945925,POLY_DEG2,175.26226763040248,-2.305654617492353,-167.0096964699489,True,True
native_plus_branch_scatter_quadrature,leave_one_out,CV_COMPARISON,8,8,8.766726844881333,1.0958408556101666,1.0958408556101666,1.740329078975185,polynomial_cv_no_measurement_validation,12.48585366724693,POLY_DEG2,123.84870209932296,-3.719126822365597,-115.08197525444163,True,True
native_plus_branch_scatter_quadrature,blocked_split,CV_COMPARISON,2,6,7.169140098897152,3.584570049448576,1.1948566831495255,1.995282133665515,polynomial_cv_no_measurement_validation,9.43891434709587,POLY_DEG2,108.02970152349654,-2.2697742481987184,-100.86056142459938,True,True
