RhoCross,BestModel,K1AIC,K2AIC,BestPolyAIC,DeltaAIC_K2_minus_K1,DeltaAIC_K2_minus_BestPoly,K2ImprovesOverK1,K2BeatsBestPoly,Interpretation,ClaimBoundary
-0.4,POLY_DEG2,11.666391131075796,9.950227340773777,7.526706987459972,-1.7161637903020193,2.4235203533138048,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
-0.35,POLY_DEG2,12.0275400330667,10.264256900781936,7.584005175371319,-1.763283132284764,2.680251725410617,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
-0.3,POLY_DEG2,12.41283535604266,10.599257146459177,7.646065560717336,-1.8135782095834827,2.953191585741841,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
-0.25,POLY_DEG2,12.824929382896059,10.957461675865428,7.713563500332468,-1.867467707030631,3.2438981755329603,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
-0.2,POLY_DEG2,13.26691257043593,11.341445244924152,7.787324259359588,-1.925467325511777,3.5541209855645644,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
-0.15,POLY_DEG2,13.74242059618151,11.754195456611278,7.8683729925822785,-1.9882251395702326,3.8858224640289993,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
-0.1,POLY_DEG2,14.255780556278452,12.199205226898824,7.958008861332717,-2.056575329379628,4.241196365566108,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
-0.05,POLY_DEG2,14.812217738265378,12.680594674139236,8.057919507065614,-2.131623064126142,4.622675167073622,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
0.0,POLY_DEG2,15.418161337537834,13.20327652271834,8.17036675506235,-2.2148848148194933,5.03290976765599,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
0.05,POLY_DEG2,16.08172290336907,13.773189806689233,8.29850647586644,-2.3085330966798363,5.474683330822794,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
0.1,POLY_DEG2,16.813502042551512,14.397650063834332,8.446981975833726,-2.41585197871718,5.950668088000606,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
0.15,POLY_DEG2,17.628078401655127,15.085922725424552,8.623133207503878,-2.542155676230575,6.462789517920674,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
0.2,POLY_DEG2,18.547139731667645,15.85029911271565,8.839782399839876,-2.6968406189519953,7.0105167128757735,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
0.25,POLY_DEG2,19.607224908758326,16.70858661493627,9.122828911966506,-2.8986382938220565,7.585757702969763,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
0.3,POLY_DEG2,20.883967205429457,17.692064002171435,9.537903901863752,-3.191903203258022,8.154160100307683,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
0.35,POLY_DEG2,22.60303970121648,18.88915877763224,10.337123294046314,-3.7138809235842416,8.552035483585925,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
0.4,POLY_DEG2,26.500621250059723,21.68920705750676,15.57989241869455,-4.811414192552963,6.10931463881221,True,False,poly_control_dominates_under_cross_covariance_proxy,cross_covariance_sensitivity_no_measurement_validation
