FoldID,ValidationMode,ModelID,ModelClass,ParameterCount,TrainN,TestN,TestGridIndices,TestChi2,TestMeanChi2,TestMeanAbsResidual,MeasurementValidationAllowed,ClaimBoundary
loo_7,leave_one_out,A2_SCALAR_V1,locked_v1,0,7,1,8,1.7983273010382137,1.7983273010382137,1.8995331822473291,False,a2_v3_polynomial_cv_no_measurement_validation
loo_7,leave_one_out,A2_PROJECTION_GATED_V2,gated_v2,0,7,1,8,0.11333543774775832,0.11333543774775832,0.4768649240340993,False,a2_v3_polynomial_cv_no_measurement_validation
loo_7,leave_one_out,A2_PROJECTION_GATED_V3,gated_v3_candidate,0,7,1,8,0.6131473791975685,0.6131473791975685,1.1091619276844238,False,a2_v3_polynomial_cv_no_measurement_validation
loo_7,leave_one_out,POLY_DEG2,overfit_risk_control,3,7,1,8,20.06229644482028,20.06229644482028,6.34457940915556,False,a2_v3_polynomial_cv_no_measurement_validation
loo_7,leave_one_out,POLY_DEG3,overfit_risk_control,4,7,1,8,5.90391899709376,5.90391899709376,3.4417768637963055,False,a2_v3_polynomial_cv_no_measurement_validation
low_depth_block,blocked_split,K1_NO_MEMORY,fair_null,0,6,2,0;1,0.5873828778492106,0.2936914389246053,0.8932699373587188,False,a2_v3_polynomial_cv_no_measurement_validation
low_depth_block,blocked_split,A2_SCALAR_V1,locked_v1,0,6,2,0;1,0.8074145118062068,0.4037072559031034,0.9579819100568696,False,a2_v3_polynomial_cv_no_measurement_validation
low_depth_block,blocked_split,A2_PROJECTION_GATED_V2,gated_v2,0,6,2,0;1,0.5873828778492106,0.2936914389246053,0.8932699373587188,False,a2_v3_polynomial_cv_no_measurement_validation
low_depth_block,blocked_split,A2_PROJECTION_GATED_V3,gated_v3_candidate,0,6,2,0;1,0.5873828778492106,0.2936914389246053,0.8932699373587188,False,a2_v3_polynomial_cv_no_measurement_validation
low_depth_block,blocked_split,POLY_DEG2,overfit_risk_control,3,6,2,0;1,115.7532244706746,57.8766122353373,12.151173572305193,False,a2_v3_polynomial_cv_no_measurement_validation
low_depth_block,blocked_split,POLY_DEG3,overfit_risk_control,4,6,2,0;1,5.3052227173769735,2.6526113586884867,2.307968228689781,False,a2_v3_polynomial_cv_no_measurement_validation
mid_depth_block,blocked_split,K1_NO_MEMORY,fair_null,0,6,2,2;3,12.435285804218008,6.217642902109004,3.709745520940558,False,a2_v3_polynomial_cv_no_measurement_validation
mid_depth_block,blocked_split,A2_SCALAR_V1,locked_v1,0,6,2,2;3,13.044008113236647,6.522004056618323,3.791661479011828,False,a2_v3_polynomial_cv_no_measurement_validation
mid_depth_block,blocked_split,A2_PROJECTION_GATED_V2,gated_v2,0,6,2,2;3,12.435285804218008,6.217642902109004,3.709745520940558,False,a2_v3_polynomial_cv_no_measurement_validation
mid_depth_block,blocked_split,A2_PROJECTION_GATED_V3,gated_v3_candidate,0,6,2,2;3,12.435285804218008,6.217642902109004,3.709745520940558,False,a2_v3_polynomial_cv_no_measurement_validation
mid_depth_block,blocked_split,POLY_DEG2,overfit_risk_control,3,6,2,2;3,13.762489686778526,6.881244843389263,3.90699930737627,False,a2_v3_polynomial_cv_no_measurement_validation
mid_depth_block,blocked_split,POLY_DEG3,overfit_risk_control,4,6,2,2;3,8.17592081553341,4.087960407766705,3.0214672627672328,False,a2_v3_polynomial_cv_no_measurement_validation
