Dataset,MappingID,ModelID,z,x,target_median,target_p16,target_p84,sigma_diag,prediction,residual,residual_over_sigma,chi2_contribution,inside_envelope,sign_stable,sign_violation,ContributionRank,Notes
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG2,1.647500,0.707082,0.044541613387,-0.19587008795,0.90097812425,0.5484241061,0.315975683746,-0.271434070359,-0.494934608708,0.244960266897,True,True,False,1,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG2,1.875000,0.804721,0.90805293541,-0.74262495774,2.1026350271,1.42262999242,0.756214913332,0.151838022078,0.106730508205,0.0113914013816,True,False,False,3,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG2,2.102500,0.902361,1.4661832035,-1.3295343582,3.993474715,2.6615045366,1.37955674587,0.0866264576334,0.0325479278514,0.00105936760742,True,False,False,7,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG2,2.330000,1,2.1224584839,-1.9217451555,6.4719245939,4.1968348747,2.18598841318,-0.0635299292842,-0.0151375813395,0.00022914636881,True,False,False,8,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG3,0.510000,0.218884,0.77581190138,-1.9013039449,2.7631344825,2.3322192137,0.852446161916,-0.0766342605363,-0.032858943999,0.00107971020073,True,True,False,7,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG3,0.737500,0.316524,0.53504858915,-1.584570728,1.2890253832,1.4367980556,0.390369474395,0.144679114755,0.100695511239,0.0101395859836,True,True,False,4,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG3,0.965000,0.414163,0.09057477964,-1.1022521054,0.84984990732,0.97605100636,0.101986646785,-0.0114118671449,-0.0116918758042,0.000136699959821,True,True,False,9,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG3,1.192500,0.511803,-0.07624797832,-0.69665719014,0.64013547365,0.668396331895,-0.00957249180336,-0.0666754865166,-0.0997544171549,0.00995094374191,True,False,False,5,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG3,1.420000,0.609442,0.15596491319,-0.17725150976,0.27844280393,0.227847156845,0.0588300371537,0.0971348760363,0.426315945221,0.18174528515,True,True,False,2,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG3,1.647500,0.707082,0.044541613387,-0.19587008795,0.90097812425,0.5484241061,0.31033137102,-0.265789757633,-0.484642733018,0.234878578667,True,True,False,1,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG3,1.875000,0.804721,0.90805293541,-0.74262495774,2.1026350271,1.42262999242,0.748062051604,0.159990883806,0.112461345999,0.0126475543438,True,False,False,3,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG3,2.102500,0.902361,1.4661832035,-1.3295343582,3.993474715,2.6615045366,1.37516678145,0.0910164220528,0.0341973574725,0.0011694592581,True,False,False,6,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,POLY_DEG3,2.330000,1,2.1224584839,-1.9217451555,6.4719245939,4.1968348747,2.19476840872,-0.0723099248189,-0.0172296330396,0.000296860254679,True,False,False,8,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,SIGN_RANDOMIZED_CONTROL,0.510000,0.218884,0.77581190138,-1.9013039449,2.7631344825,2.3322192137,0.77581190138,0,0,0,True,True,False,6,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,SIGN_RANDOMIZED_CONTROL,0.737500,0.316524,0.53504858915,-1.584570728,1.2890253832,1.4367980556,0.53504858915,0,0,0,True,True,False,7,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,SIGN_RANDOMIZED_CONTROL,0.965000,0.414163,0.09057477964,-1.1022521054,0.84984990732,0.97605100636,0.09057477964,0,0,0,True,True,False,8,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,SIGN_RANDOMIZED_CONTROL,1.192500,0.511803,-0.07624797832,-0.69665719014,0.64013547365,0.668396331895,-0.07624797832,0,0,0,True,False,False,9,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,SIGN_RANDOMIZED_CONTROL,1.420000,0.609442,0.15596491319,-0.17725150976,0.27844280393,0.227847156845,-0.15596491319,0.31192982638,1.36903102369,1.87424594382,True,True,True,1,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,SIGN_RANDOMIZED_CONTROL,1.647500,0.707082,0.044541613387,-0.19587008795,0.90097812425,0.5484241061,-0.044541613387,0.089083226774,0.162434921775,0.0263851038121,True,True,True,5,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,SIGN_RANDOMIZED_CONTROL,1.875000,0.804721,0.90805293541,-0.74262495774,2.1026350271,1.42262999242,-0.90805293541,1.81610587082,1.27658342682,1.62966524563,False,False,False,2,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,SIGN_RANDOMIZED_CONTROL,2.102500,0.902361,1.4661832035,-1.3295343582,3.993474715,2.6615045366,-1.4661832035,2.932366407,1.10177020804,1.21389759133,False,False,False,3,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,SIGN_RANDOMIZED_CONTROL,2.330000,1,2.1224584839,-1.9217451555,6.4719245939,4.1968348747,-2.1224584839,4.2449169678,1.01145675123,1.0230447596,False,False,False,4,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,COORDINATE_REMAP_CONTROL,0.510000,0.218884,0.77581190138,-1.9013039449,2.7631344825,2.3322192137,2.03273401051,-1.25692210913,-0.538938236059,0.290454422287,True,True,False,5,fixed_alpha_1p2_coordinate_remap_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,COORDINATE_REMAP_CONTROL,0.737500,0.316524,0.53504858915,-1.584570728,1.2890253832,1.4367980556,1.25072672944,-0.71567814029,-0.49810628397,0.24810987013,True,True,False,6,fixed_alpha_1p2_coordinate_remap_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,COORDINATE_REMAP_CONTROL,0.965000,0.414163,0.09057477964,-1.1022521054,0.84984990732,0.97605100636,0.701553740506,-0.610978960866,-0.625970320081,0.391838841622,True,True,False,3,fixed_alpha_1p2_coordinate_remap_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,COORDINATE_REMAP_CONTROL,1.192500,0.511803,-0.07624797832,-0.69665719014,0.64013547365,0.668396331895,0.348344229003,-0.424592207323,-0.635240181703,0.40353008845,True,False,False,2,fixed_alpha_1p2_coordinate_remap_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,COORDINATE_REMAP_CONTROL,1.420000,0.609442,0.15596491319,-0.17725150976,0.27844280393,0.227847156845,0.224200449357,-0.0682355361672,-0.299479427841,0.0896879277001,True,True,False,8,fixed_alpha_1p2_coordinate_remap_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,COORDINATE_REMAP_CONTROL,1.647500,0.707082,0.044541613387,-0.19587008795,0.90097812425,0.5484241061,0.419857343763,-0.375315730376,-0.684353087695,0.468339148637,True,True,False,1,fixed_alpha_1p2_coordinate_remap_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,COORDINATE_REMAP_CONTROL,1.875000,0.804721,0.90805293541,-0.74262495774,2.1026350271,1.42262999242,1.07965895789,-0.171606022477,-0.12062589949,0.0145506076277,True,False,False,9,fixed_alpha_1p2_coordinate_remap_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,COORDINATE_REMAP_CONTROL,2.102500,0.902361,1.4661832035,-1.3295343582,3.993474715,2.6615045366,2.3897541391,-0.923570935595,-0.347010844015,0.120416525864,True,False,False,7,fixed_alpha_1p2_coordinate_remap_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_current_packet,COORDINATE_REMAP_CONTROL,2.330000,1,2.1224584839,-1.9217451555,6.4719245939,4.1968348747,4.5595239185,-2.4370654346,-0.58069128459,0.337202367998,True,False,False,4,fixed_alpha_1p2_coordinate_remap_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K2_LOCKED_RHO4,0.510000,0.218884120172,0.77581190138,-1.9013039449,2.7631344825,2.3322192137,2.08288619886,-1.30707429748,-0.560442298823,0.314095570309,True,True,False,5,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K2_LOCKED_RHO4,0.737500,0.31652360515,0.53504858915,-1.584570728,1.2890253832,1.4367980556,1.32508838473,-0.790039795576,-0.549861403623,0.302347563195,False,True,False,6,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K2_LOCKED_RHO4,0.965000,0.414163090129,0.09057477964,-1.1022521054,0.84984990732,0.97605100636,0.771694658722,-0.681119879082,-0.697832259425,0.486969862294,True,True,False,3,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K2_LOCKED_RHO4,1.192500,0.511802575107,-0.07624797832,-0.69665719014,0.64013547365,0.668396331895,0.393840965007,-0.470088943327,-0.703308682131,0.494643102361,True,False,False,2,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K2_LOCKED_RHO4,1.420000,0.609442060086,0.15596491319,-0.17725150976,0.27844280393,0.227847156845,0.255396245846,-0.0994313326563,-0.436394879941,0.190440491239,True,True,False,7,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K2_LOCKED_RHO4,1.647500,0.707081545064,0.044541613387,-0.19587008795,0.90097812425,0.5484241061,0.471741454278,-0.427199840891,-0.778958904503,0.606776974905,True,True,False,1,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K2_LOCKED_RHO4,1.875000,0.804721030043,0.90805293541,-0.74262495774,2.1026350271,1.42262999242,1.17686020069,-0.268807265283,-0.188950933634,0.035702455321,True,False,False,9,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K2_LOCKED_RHO4,2.102500,0.902360515021,1.4661832035,-1.3295343582,3.993474715,2.6615045366,2.5013245633,-1.0351413598,-0.388930901888,0.151267246444,True,False,False,8,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K2_LOCKED_RHO4,2.330000,1,2.1224584839,-1.9217451555,6.4719245939,4.1968348747,4.5595239185,-2.4370654346,-0.58069128459,0.337202367998,True,False,False,4,fixed_rho4_locked_prediction
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K1_NO_MEMORY,0.510000,0.218884120172,0.77581190138,-1.9013039449,2.7631344825,2.3322192137,1.9990324283,-1.22322052692,-0.524487801033,0.275087453432,True,True,False,1,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K1_NO_MEMORY,0.737500,0.31652360515,0.53504858915,-1.584570728,1.2890253832,1.4367980556,1.1759263118,-0.64087772265,-0.446045789213,0.198956846075,True,True,False,4,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K1_NO_MEMORY,0.965000,0.414163090129,0.09057477964,-1.1022521054,0.84984990732,0.97605100636,0.6009299818,-0.51035520216,-0.522877594341,0.273400978664,True,True,False,2,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K1_NO_MEMORY,1.192500,0.511802575107,-0.07624797832,-0.69665719014,0.64013547365,0.668396331895,0.2563651344,-0.33261311272,-0.497628572821,0.247634196488,True,False,False,3,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K1_NO_MEMORY,1.420000,0.609442060086,0.15596491319,-0.17725150976,0.27844280393,0.227847156845,0.1340356667,0.02192924649,0.0962454251949,0.00926318187095,True,True,False,9,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K1_NO_MEMORY,1.647500,0.707081545064,0.044541613387,-0.19587008795,0.90097812425,0.5484241061,0.195413964,-0.150872350613,-0.27510160282,0.0756808918739,True,True,False,8,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K1_NO_MEMORY,1.875000,0.804721030043,0.90805293541,-0.74262495774,2.1026350271,1.42262999242,0.3815434991,0.52650943631,0.370095835962,0.136970927797,True,False,False,5,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K1_NO_MEMORY,2.102500,0.902360515021,1.4661832035,-1.3295343582,3.993474715,2.6615045366,0.6350144062,0.8311687973,0.312292835075,0.0975268148392,True,False,False,6,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,K1_NO_MEMORY,2.330000,1,2.1224584839,-1.9217451555,6.4719245939,4.1968348747,0.9119047837,1.2105537002,0.288444443573,0.0832001970281,True,False,False,7,frozen_k1_no_memory_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG2,0.510000,0.218884120172,0.77581190138,-1.9013039449,2.7631344825,2.3322192137,0.861225215208,-0.0854133138278,-0.0366231927625,0.00134125824812,True,True,False,6,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG2,0.737500,0.31652360515,0.53504858915,-1.584570728,1.2890253832,1.4367980556,0.385980804692,0.149067784458,0.103749990388,0.0107640605054,True,True,False,4,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG2,0.965000,0.414163090129,0.09057477964,-1.1022521054,0.84984990732,0.97605100636,0.0938335404024,-0.00325876076236,-0.00333871974019,1.11470495035e-05,True,True,False,9,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG2,1.192500,0.511802575107,-0.07624797832,-0.69665719014,0.64013547365,0.668396331895,-0.0152165776625,-0.0610314006575,-0.0913101968774,0.0083375520538,True,False,False,5,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG2,1.420000,0.609442060086,0.15596491319,-0.17725150976,0.27844280393,0.227847156845,0.0588304504978,0.0971344626922,0.426314131092,0.181743738369,True,True,False,2,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG2,1.647500,0.707081545064,0.044541613387,-0.19587008795,0.90097812425,0.5484241061,0.315974624883,-0.271433011496,-0.494932677972,0.244958355724,True,True,False,1,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG2,1.875000,0.804721030043,0.90805293541,-0.74262495774,2.1026350271,1.42262999242,0.756215945494,0.151836989916,0.106729782674,0.0113912465095,True,False,False,3,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG2,2.102500,0.902360515021,1.4661832035,-1.3295343582,3.993474715,2.6615045366,1.37955441233,0.0866287911698,0.0325488046248,0.0010594246825,True,False,False,7,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG2,2.330000,1,2.1224584839,-1.9217451555,6.4719245939,4.1968348747,2.18599002539,-0.0635315414914,-0.0151379654878,0.000229157999111,True,False,False,8,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG3,0.510000,0.218884120172,0.77581190138,-1.9013039449,2.7631344825,2.3322192137,0.852446402013,-0.0766345006334,-0.0328590469469,0.00107971696626,True,True,False,7,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG3,0.737500,0.31652360515,0.53504858915,-1.584570728,1.2890253832,1.4367980556,0.39037021129,0.14467837786,0.100694998366,0.0101394826959,True,True,False,4,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG3,0.965000,0.414163090129,0.09057477964,-1.1022521054,0.84984990732,0.97605100636,0.101985295511,-0.0114105158714,-0.011690491375,0.000136667588589,True,True,False,9,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG3,1.192500,0.511802575107,-0.07624797832,-0.69665719014,0.64013547365,0.668396331895,-0.00957305489472,-0.0666749234253,-0.0997535747036,0.00995077566614,True,False,False,5,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG3,1.420000,0.609442060086,0.15596491319,-0.17725150976,0.27844280393,0.227847156845,0.0588304504978,0.0971344626922,0.426314131092,0.181743738369,True,True,False,2,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG3,1.647500,0.707081545064,0.044541613387,-0.19587008795,0.90097812425,0.5484241061,0.310331102116,-0.265789488729,-0.484642242696,0.234878103405,True,True,False,1,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG3,1.875000,0.804721030043,0.90805293541,-0.74262495774,2.1026350271,1.42262999242,0.748064190385,0.159988745025,0.112459842599,0.0126472161975,True,False,False,3,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG3,2.102500,0.902360515021,1.4661832035,-1.3295343582,3.993474715,2.6615045366,1.37516500573,0.091018197767,0.0341980246569,0.00116950489043,True,False,False,6,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,POLY_DEG3,2.330000,1,2.1224584839,-1.9217451555,6.4719245939,4.1968348747,2.19476883859,-0.0723103546857,-0.017229735466,0.00029686378423,True,False,False,8,fixed_degree_polynomial_null
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,SIGN_RANDOMIZED_CONTROL,0.510000,0.218884120172,0.77581190138,-1.9013039449,2.7631344825,2.3322192137,0.77581190138,0,0,0,True,True,False,6,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,SIGN_RANDOMIZED_CONTROL,0.737500,0.31652360515,0.53504858915,-1.584570728,1.2890253832,1.4367980556,0.53504858915,0,0,0,True,True,False,7,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,SIGN_RANDOMIZED_CONTROL,0.965000,0.414163090129,0.09057477964,-1.1022521054,0.84984990732,0.97605100636,0.09057477964,0,0,0,True,True,False,8,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,SIGN_RANDOMIZED_CONTROL,1.192500,0.511802575107,-0.07624797832,-0.69665719014,0.64013547365,0.668396331895,-0.07624797832,0,0,0,True,False,False,9,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,SIGN_RANDOMIZED_CONTROL,1.420000,0.609442060086,0.15596491319,-0.17725150976,0.27844280393,0.227847156845,-0.15596491319,0.31192982638,1.36903102369,1.87424594382,True,True,True,1,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,SIGN_RANDOMIZED_CONTROL,1.647500,0.707081545064,0.044541613387,-0.19587008795,0.90097812425,0.5484241061,-0.044541613387,0.089083226774,0.162434921775,0.0263851038121,True,True,True,5,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,SIGN_RANDOMIZED_CONTROL,1.875000,0.804721030043,0.90805293541,-0.74262495774,2.1026350271,1.42262999242,-0.90805293541,1.81610587082,1.27658342682,1.62966524563,False,False,False,2,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,SIGN_RANDOMIZED_CONTROL,2.102500,0.902360515021,1.4661832035,-1.3295343582,3.993474715,2.6615045366,-1.4661832035,2.932366407,1.10177020804,1.21389759133,False,False,False,3,fixed_seed_sign_control
SN_BAO_NO_DEGREE4_CURRENT,z_normalized_recomputed,SIGN_RANDOMIZED_CONTROL,2.330000,1,2.1224584839,-1.9217451555,6.4719245939,4.1968348747,-2.1224584839,4.2449169678,1.01145675123,1.0230447596,False,False,False,4,fixed_seed_sign_control
