AuditID,RouteID,FamilyID,SampleID,GridIndex,z_grid,FamilyBackreactionInterpolated,FamilyBackreactionWhitened,WhitenedTarget,K1Whitened,K2LockedWhitened,ResidualToTarget,ResidualToK2,SignStable,SignMatchesTarget,SignMatchesK2,MeasurementValidationAllowed,ClaimBoundary
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_LOW_COMPLEXITY_TERCILE,0,8,2.33,1.1699673754742776,0.7228009641348613,-1.2298343207445623,-0.0967721463013744,-0.5156214844006239,-1.9526352848794235,-1.238422448535485,False,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_MID_COMPLEXITY_TERCILE,0,0,0.51,2.5080195788263,1.3755563769803887,-2.745431288481891,-0.0998241209545273,-0.0796921414161646,-4.12098766546228,-1.4552485183965533,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_MID_COMPLEXITY_TERCILE,0,1,0.7375,2.1564094508960254,1.2784779565607494,-2.3025428535703973,-0.1327596978207249,-0.2055224348022593,-3.5810208101311467,-1.4840003913630087,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_MID_COMPLEXITY_TERCILE,0,2,0.965,1.9333071009324145,1.2179807285536142,-0.8014829515625784,-0.0419669552380939,-0.0625291792376435,-2.0194636801161927,-1.2805099077912576,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_MID_COMPLEXITY_TERCILE,0,3,1.1925,1.799610471272185,1.0819031504107997,0.173576508880147,0.0124813409147406,0.042579236107518,-0.9083266415306527,-1.0393239143032817,False,True,True,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_MID_COMPLEXITY_TERCILE,0,4,1.42,1.6818990180972655,0.6495332499607037,-0.6451889001717087,-0.0647507033067011,-0.0759363642193157,-1.2947221501324124,-0.7254696141800194,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_MID_COMPLEXITY_TERCILE,0,5,1.6475,1.6121199033388167,0.6782784831736336,-0.3814165650725978,-0.0452647958113341,-0.1283810963664025,-1.0596950482462315,-0.8066595795400361,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_MID_COMPLEXITY_TERCILE,0,6,1.875,1.5531521779766293,0.6674624626471064,-1.3898183781540705,-0.2174649739432023,-0.8895918169480529,-2.0572808408011767,-1.5570542795951594,False,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_MID_COMPLEXITY_TERCILE,0,8,2.33,1.435216727252255,0.8686641273704747,-1.2298343207445623,-0.0967721463013744,-0.5156214844006239,-2.098498448115037,-1.3842856117710987,False,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_HIGH_COMPLEXITY_TERCILE,0,0,0.51,2.475106998310295,1.3576909206831522,-2.745431288481891,-0.0998241209545273,-0.0796921414161646,-4.103122209165043,-1.4373830620993169,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_HIGH_COMPLEXITY_TERCILE,0,1,0.7375,2.1257939586596843,1.2601516242080697,-2.3025428535703973,-0.1327596978207249,-0.2055224348022593,-3.562694477778467,-1.465674059010329,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_HIGH_COMPLEXITY_TERCILE,0,2,0.965,1.9099223993233638,1.2037242637599324,-0.8014829515625784,-0.0419669552380939,-0.0625291792376435,-2.005207215322511,-1.2662534429975758,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_HIGH_COMPLEXITY_TERCILE,0,3,1.1925,1.772344215681912,1.0653590773586255,0.173576508880147,0.0124813409147406,0.042579236107518,-0.8917825684784785,-1.0227798412511075,False,True,True,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_HIGH_COMPLEXITY_TERCILE,0,4,1.42,1.6543440819800814,0.6376979924073263,-0.6451889001717087,-0.0647507033067011,-0.0759363642193157,-1.282886892579035,-0.713634356626642,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_HIGH_COMPLEXITY_TERCILE,0,5,1.6475,1.5872083823909333,0.6677290452965263,-0.3814165650725978,-0.0452647958113341,-0.1283810963664025,-1.0491456103691241,-0.7961101416629288,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_HIGH_COMPLEXITY_TERCILE,0,6,1.875,1.530347211134145,0.6583331093140437,-1.3898183781540705,-0.2174649739432023,-0.8895918169480529,-2.048151487468114,-1.5479249262620964,False,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,PUBLIC_PROXY_WHITENED_STANDARDIZED,LOCAL_HIGH_COMPLEXITY_TERCILE,0,8,2.33,1.4166248686205682,0.8576488589458119,-1.2298343207445623,-0.0967721463013744,-0.5156214844006239,-2.0874831796903743,-1.373270343346436,False,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,REGISTERED_SHRINKAGE_WHITENED,LOCAL_BEST_SCORE_Q20,0,0,0.51,1.8089203855755565,0.9684331063813918,-2.86433358564581,-0.1099630552830129,-0.1182113299883962,-3.8327666920272017,-1.086644436369788,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,REGISTERED_SHRINKAGE_WHITENED,LOCAL_BEST_SCORE_Q20,0,1,0.7375,1.6230672628345704,0.8628862655717866,-2.315415080910488,-0.1238653606623093,-0.1625159123260439,-3.1783013464822742,-1.0254021778978304,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,REGISTERED_SHRINKAGE_WHITENED,LOCAL_BEST_SCORE_Q20,0,2,0.965,1.5079660913653061,0.8262562634828804,-0.4347675164995026,-0.0238009243169268,-0.0289163920946963,-1.261023779982383,-0.8551726555775767,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,REGISTERED_SHRINKAGE_WHITENED,LOCAL_BEST_SCORE_Q20,0,3,1.1925,1.4335973934983162,0.7897160866068828,0.3719064209126854,0.0245985912554874,0.0677155766598442,-0.41780966569419736,-0.7220005099470386,False,True,True,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,REGISTERED_SHRINKAGE_WHITENED,LOCAL_BEST_SCORE_Q20,0,4,1.42,1.3691158951460705,0.7149528694144335,-0.8838014619067616,-0.1116120879947342,-0.2883204770740218,-1.598754331321195,-1.0032733464884553,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,REGISTERED_SHRINKAGE_WHITENED,LOCAL_BEST_SCORE_Q20,0,5,1.6475,1.3314989774421564,0.7302794868029341,-0.7161278711761941,-0.0964424078421376,-0.3080615791157776,-1.4464073579791283,-1.0383410659187118,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,REGISTERED_SHRINKAGE_WHITENED,LOCAL_BEST_SCORE_Q20,0,6,1.875,1.2995368776849723,0.7398245434992192,-1.4928698749648674,-0.2204551424591881,-0.8472454406784786,-2.232694418464087,-1.5870699841776978,False,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,REGISTERED_SHRINKAGE_WHITENED,LOCAL_BEST_SCORE_Q20,0,8,2.33,1.2356126781706036,0.7599231317048459,-1.2541943177607862,-0.0938815043279612,-0.5002936897465631,-2.014117449465632,-1.260216821451409,False,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,REGISTERED_SHRINKAGE_WHITENED,LOCAL_SMOOTH_D_Q20,0,0,0.51,2.107291009104826,1.12893526850499,-2.86433358564581,-0.1099630552830129,-0.1182113299883962,-3.9932688541508,-1.2471465984933863,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,REGISTERED_SHRINKAGE_WHITENED,LOCAL_SMOOTH_D_Q20,0,1,0.7375,1.8753427825697933,0.9962287890219024,-2.315415080910488,-0.1238653606623093,-0.1625159123260439,-3.3116438699323902,-1.1587447013479464,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,REGISTERED_SHRINKAGE_WHITENED,LOCAL_SMOOTH_D_Q20,0,2,0.965,1.7285063670088698,0.9439309524018186,-0.4347675164995026,-0.0238009243169268,-0.0289163920946963,-1.3786984689013213,-0.9728473444965149,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,REGISTERED_SHRINKAGE_WHITENED,LOCAL_SMOOTH_D_Q20,0,3,1.1925,1.678551275204559,0.9269568782758251,0.3719064209126854,0.0245985912554874,0.0677155766598442,-0.5550504573631396,-0.8592413016159809,False,True,True,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,REGISTERED_SHRINKAGE_WHITENED,LOCAL_SMOOTH_D_Q20,0,4,1.42,1.6127825296706957,0.8460603487989639,-0.8838014619067616,-0.1116120879947342,-0.2883204770740218,-1.7298618107057253,-1.1343808258729857,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,REGISTERED_SHRINKAGE_WHITENED,LOCAL_SMOOTH_D_Q20,0,5,1.6475,1.551953824163259,0.8524219996370327,-0.7161278711761941,-0.0964424078421376,-0.3080615791157776,-1.5685498708132268,-1.1604835787528103,True,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,REGISTERED_SHRINKAGE_WHITENED,LOCAL_SMOOTH_D_Q20,0,6,1.875,1.5002194293292204,0.853379763781834,-1.4928698749648674,-0.2204551424591881,-0.8472454406784786,-2.3462496387467016,-1.7006252044603127,False,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
SOURCE_NATIVE_REPRODUCTION_FAMILY_BRIDGE_ROW_V1,REGISTERED_SHRINKAGE_WHITENED,LOCAL_SMOOTH_D_Q20,0,8,2.33,1.396750639661143,0.8552360647060108,-1.2541943177607862,-0.0938815043279612,-0.5002936897465631,-2.109430382466797,-1.355529754452574,False,False,False,False,source_native_reproduction_family_bridge_no_measurement_validation
