FamilyID,BootstrapIndex,z,Omega_R_plus_3Omega_Q,Source,ClaimBoundary
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,7,2.334,1.436636918858726,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,8,0.38,1.5437356683203376,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,8,0.51,1.4661807840187129,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,8,0.698,1.3862568683811813,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,8,0.706,1.3834548786043193,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,8,0.93,1.3186352544513644,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,8,0.934,1.3176750733761855,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,8,1.317,1.2464427755541772,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,8,1.321,1.2458661422601447,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,8,1.48,1.224935763283119,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,8,1.484,1.2244548271206195,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,8,2.33,1.154480435337747,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,8,2.334,1.1542527698049265,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,9,0.38,2.8890560973422454,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,9,0.51,2.541276089518604,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,9,0.698,2.215691278297115,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,9,0.706,2.2048301377816166,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,9,0.93,1.9632549618644028,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,9,0.934,1.95981099610587,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,9,1.317,1.714557888322168,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,9,1.321,1.7126520734169761,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,9,1.48,1.6442987798661064,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,9,1.484,1.642746944502849,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,9,2.33,1.4255073259904563,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,9,2.334,1.4248273923199695,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,12,0.38,2.576823496389633,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,12,0.51,2.3179871600902002,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,12,0.698,2.0635931046347804,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,12,0.706,2.054897420914862,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,12,0.93,1.8578799159805863,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,12,0.934,1.8550206052218823,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,12,1.317,1.6476597613751542,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,12,1.321,1.646019119343299,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,12,1.48,1.586876486141023,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,12,1.484,1.5855269145495268,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,12,2.33,1.3935795104627917,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,12,2.334,1.392969214443816,registered_protocol_guided_local_reproduction_bootstrap,registered_protocol_guided_reproduction_no_measurement_validation
