SampleID,Omega_z0,Omega_z1,Omega_z2,Omega_z3,Omega_z4,Omega_z5
149,-0.4083773491892797,-0.28007295024472606,-0.16814764198435186,0.07340003199324949,0.22567618760882863,1.8465123762570541
150,2.5365855370934347,2.1301049470870854,1.5874948734595014,0.4021118743684099,-0.22978414874364583,-5.727855389468219
151,1.9110709434776507,1.3669131087527693,0.8730724666542219,0.12431112621209564,-0.1983727716376784,-2.325356952587988
152,1.1967307684279742,1.06821943368607,0.8711711930136806,0.3623292576533312,0.06860856633504941,-2.49017725904947
153,1.3026037174625529,1.1339209019927614,0.874124169902549,0.19336011447072932,-0.2051562549035411,-3.831503702501495
154,0.5641936699719006,0.5011558121522639,0.403201057201656,0.16172391721545315,0.03115199080092679,-0.9200252006774029
155,0.9355630217615772,0.7937309542705971,0.6040155019980221,0.16538487201986818,-0.07416771746896593,-2.021175621127548
156,2.8261110312019153,2.3858814737234058,1.7533871309732707,0.3379752986309668,-0.42006295874157856,-7.186770973703589
157,2.1256390991970706,1.8735436538166534,1.5061665457304156,0.6336350231876856,0.15080883951355464,-4.03779838496951
158,1.6325889935149673,1.0724543529567458,0.6111642053850325,-0.003154954614710525,-0.24088480251070243,-1.5577747016190828
159,2.3854707517801517,1.9731882856473224,1.412807710334957,0.15350420892701816,-0.5325659498507396,-6.772793706983906
160,2.813605043032607,2.298123633748871,1.6395250104513701,0.27967481016014833,-0.4217081731632218,-6.404263172669237
161,4.2917028081954,3.663137861699269,2.6627023517568125,0.47781697615436786,-0.6485729605285676,-10.742238849518452
162,3.026524824026373,2.5052720900731003,1.8038827202914,0.3453655538933764,-0.3996793191157846,-6.650528460366875
163,1.1451385977305075,1.0499641137757785,0.8754850758570074,0.3613397146275183,0.047544729977324875,-2.8295124933013307
164,2.2074042622223113,1.8152473221112573,1.3250995196275295,0.3027568910727669,-0.2300787730633842,-4.696423501824825
165,2.89652979021908,2.269008821829503,1.5133179023392225,0.036019281726023485,-0.7047194960360837,-6.922029952510237
