FamilyID,z_i,z_j,Covariance,Samples,Source,ClaimBoundary
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,0.93,1.484,0.16081532141862515,133,registered_protocol_guided_local_reproduction_bootstrap_covariance,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,0.93,2.33,0.1189796855386358,133,registered_protocol_guided_local_reproduction_bootstrap_covariance,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,0.93,2.334,0.11884590867267796,133,registered_protocol_guided_local_reproduction_bootstrap_covariance,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,0.934,0.38,0.37798093924596265,133,registered_protocol_guided_local_reproduction_bootstrap_covariance,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,0.934,0.51,0.3195052134948104,133,registered_protocol_guided_local_reproduction_bootstrap_covariance,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,0.934,0.698,0.2635824048586133,133,registered_protocol_guided_local_reproduction_bootstrap_covariance,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,0.934,0.706,0.26169249817039836,133,registered_protocol_guided_local_reproduction_bootstrap_covariance,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,0.934,0.93,0.21913975712109943,133,registered_protocol_guided_local_reproduction_bootstrap_covariance,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,0.934,0.934,0.2185250509280286,133,registered_protocol_guided_local_reproduction_bootstrap_covariance,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,0.934,1.317,0.17400905838356803,133,registered_protocol_guided_local_reproduction_bootstrap_covariance,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,0.934,1.321,0.17365667787056396,133,registered_protocol_guided_local_reproduction_bootstrap_covariance,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,0.934,1.48,0.16094283634762,133,registered_protocol_guided_local_reproduction_bootstrap_covariance,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,0.934,1.484,0.16065242874018862,133,registered_protocol_guided_local_reproduction_bootstrap_covariance,registered_protocol_guided_reproduction_no_measurement_validation
REGISTERED_HD_CRITERIA_1_SIMPLE_PROXY,0.934,2.33,0.11915233703601687,133,registered_protocol_guided_local_reproduction_bootstrap_covariance,registered_protocol_guided_reproduction_no_measurement_validation
