RouteID,BootstrapIndex,z,D,D_prime,D_double_prime,FinitePrediction,ClaimBoundary
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,2,2.334,6077.92490382699,2337.8917260728667,0.0,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,3,0.38,1200.7521717696986,3931.232959832993,-2023.0876180351956,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,3,0.51,1694.7173659419616,3668.231565894875,-2023.0876537659606,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,3,0.698,2348.5928954558285,3287.891088508406,-2023.0876418557054,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,3,0.706,2374.8312853592315,3271.706387342628,-2023.0876418557054,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,3,0.93,3056.938293269331,2818.5347547113233,-2023.0876537659606,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,3,0.934,3068.1962475870127,2810.442404128434,-2023.0876537659606,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,3,1.317,3996.213336540323,2035.5998358366046,-2023.0876418557054,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,3,1.321,4004.3395511825015,2027.5074852537157,-2023.0876418557054,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
D_BRANCH_DERIVATIVE_REGULARIZED_BOOTSTRAP_SMOKE_V1,3,1.48,4301.140401952637,1705.8365495920275,-2023.0876299454505,True,d_branch_derivative_regularized_bootstrap_smoke_no_measurement_validation
